time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
2.001,1000,1000,158,216,281,430,1144
3.000,1001,1001,163,206,263,549,1040
4.000,1000,1000,157,205,266,353,1304
5.000,1001,1001,159,206,268,375,1454
6.000,1001,1001,148,194,258,372,1584
7.000,1001,1001,133,195,228,358,1275
8.000,1000,1000,148,183,206,331,690
9.001,1000,999,147,188,223,309,690
10.001,1000,1001,149,186,252,782,1737
11.001,1000,1000,141,189,224,312,1054
12.001,1000,1000,141,189,221,338,1137
13.001,1001,1001,143,185,222,300,686
14.000,1001,1001,158,198,228,367,827
15.000,1000,1001,138,197,241,345,1705
16.001,1001,1000,137,177,202,304,1399
17.001,1001,1001,143,188,224,377,1065
18.000,1001,1001,144,172,201,284,560
19.000,1001,1001,150,203,260,574,2023
20.000,1001,1001,147,181,217,819,2242
21.000,1001,1001,146,182,210,332,769
22.001,1000,1000,129,189,236,344,819
23.000,1001,1001,144,199,236,335,1662
24.001,1000,1000,136,196,218,324,1628
25.000,1001,1001,152,198,230,354,1141
26.000,1001,1001,144,184,223,310,547
27.000,1000,1000,145,187,228,314,537
28.000,1001,1001,149,185,214,358,772
29.001,1000,1000,140,191,219,297,505
30.000,1001,1001,145,187,227,318,1549
31.001,1000,1000,142,190,229,363,1418
32.000,1001,1001,161,195,226,333,1353
33.000,1000,1000,149,196,227,391,2299
34.000,1001,1001,153,197,256,1275,4362
35.002,1000,1000,141,183,219,692,4157
36.001,1000,1000,150,192,219,328,1412
37.001,1001,1001,144,188,215,351,489
38.000,1001,1001,149,195,222,317,607
39.000,1000,1000,144,181,208,309,836
40.000,1001,1001,140,180,204,324,1138
41.000,1001,1001,145,184,228,308,729
42.001,1000,1000,142,184,223,316,612
43.001,1001,1001,146,186,228,499,4735
44.000,1001,1001,150,181,205,434,1730
45.000,1000,1000,146,193,240,420,2463
46.001,1000,1000,142,184,221,363,841
47.000,1001,1001,149,185,217,314,720
48.001,1000,1000,146,189,229,452,813
49.000,1001,1001,145,189,247,536,1848
50.000,1000,1000,148,188,224,1193,2910
51.000,1001,1001,150,185,238,1541,8487
52.000,1000,1000,138,177,202,320,953
53.000,1000,1000,147,187,213,338,489
54.000,1001,1001,143,183,210,322,826
55.000,1000,1000,148,181,216,310,1083
56.001,1000,1000,154,192,250,444,2129
57.000,1001,1001,143,182,218,344,3813
58.000,1001,1001,135,178,202,288,399
59.000,1000,1000,139,183,222,326,2438
60.000,1001,1001,143,191,218,331,780
61.000,1000,1000,142,180,225,290,407
62.000,1000,1000,144,194,232,705,8672
63.000,1001,1001,139,191,225,329,2540
64.000,1000,1000,143,187,218,341,601
65.000,1000,1000,138,187,247,583,5416
66.000,1001,1001,138,175,217,351,1079
67.001,1000,1000,138,186,224,614,1744
68.000,1001,1001,135,181,219,324,1677
69.000,1001,1001,141,184,208,301,1434
70.000,1001,1001,137,174,207,348,722
71.000,1000,1000,134,178,205,294,737
72.001,1000,1000,137,179,227,311,516
73.001,1001,1001,136,179,231,1425,2909
74.001,1000,1000,147,184,225,566,1482
75.001,1001,1001,135,171,194,286,1229
76.001,1001,1001,147,184,217,312,663
77.000,1001,1001,135,180,211,299,554
78.000,1001,1001,148,193,253,639,2040
79.000,1001,1000,147,186,215,324,1387
80.000,1000,1001,149,188,213,350,1090
81.001,1000,997,149,193,226,391,4249
82.001,1000,1003,152,184,209,426,1484
83.001,1001,1001,148,183,212,369,1733
84.001,1000,1000,135,183,209,308,457
85.000,1001,1001,139,171,189,281,547
86.000,1000,1000,144,178,213,332,1086
87.000,1001,1001,124,171,200,301,733
88.000,1000,1000,148,186,211,301,403
89.001,1000,1000,140,187,222,317,478
90.001,1001,1001,137,184,222,308,1406
91.001,1000,1000,152,192,229,335,1333
92.000,1001,1001,150,192,214,317,1006
93.001,1000,999,150,190,223,407,1576
94.000,1001,1002,147,183,215,320,642
95.000,1000,1000,141,178,209,335,592
96.001,1000,1000,139,173,198,294,544
97.000,1001,1001,142,173,202,415,1094
98.001,1001,1000,150,182,211,357,1208
99.001,1000,1001,142,172,195,284,1200
100.000,1001,1001,138,179,214,323,859
101.001,1000,1000,140,181,212,401,1540
102.001,1001,1000,147,183,217,337,4378
103.000,1000,1001,146,185,218,340,1174
104.001,1000,1000,132,178,203,287,852
105.000,1001,1001,145,179,220,335,2416
106.001,1000,1000,149,190,227,323,993
107.000,1001,1001,144,175,202,387,922
108.001,1000,1000,146,181,205,292,405
109.000,1001,1001,145,184,223,701,1295
110.000,1000,1000,143,185,222,584,895
111.001,1000,1000,142,182,219,563,1847
112.001,1000,1000,139,178,202,296,457
113.001,1001,1000,149,178,204,296,3046
114.000,1000,998,145,187,213,307,588
115.000,1001,1003,140,175,200,478,1032
116.000,1001,1001,149,188,215,329,1269
117.001,1000,1000,142,183,209,307,2269
118.001,1001,1001,138,181,210,301,554
119.001,1001,1001,149,177,204,285,487
120.000,1001,1001,150,185,213,295,915
121.000,1001,1001,146,177,200,298,480
122.000,1001,1001,145,176,199,307,610
123.001,1000,1000,142,169,193,261,653
124.001,1001,1001,149,182,225,523,5494
125.001,1000,1000,146,184,209,310,499
126.000,1001,1001,147,197,242,1059,1518
127.000,1001,1001,146,188,213,298,360
128.001,1000,1000,148,182,211,295,469
129.000,1001,1001,145,177,204,298,1336
130.000,1001,1001,147,179,200,284,388
131.000,1001,1001,141,181,208,295,1513
132.000,1000,1000,146,190,220,444,3243
133.000,1000,1000,152,191,223,366,1104
134.001,1000,1000,144,180,206,312,680
135.001,1000,1000,145,172,199,277,434
136.001,1001,1001,139,172,193,274,575
137.000,1001,1001,142,170,193,276,374
138.000,1001,1001,139,172,206,283,358
139.001,1000,1000,136,174,203,343,2961
140.000,1000,1000,138,173,197,288,482
141.000,1001,1001,147,189,234,356,682
142.000,1001,1001,142,174,201,307,786
143.000,1001,1001,141,175,199,280,655
144.000,1000,1000,142,179,209,288,685
145.001,1000,1000,145,183,209,293,436
146.001,1000,1000,145,174,200,309,922
147.000,1001,1001,151,187,213,321,871
148.001,1000,1000,144,189,212,311,591
149.000,1000,1001,145,186,219,322,1030
150.000,1001,1000,145,178,208,285,444
151.001,1000,1000,127,174,200,350,3262
152.001,1001,1001,141,188,229,477,1144
153.000,1001,1001,143,188,244,895,3221
154.000,1000,1000,121,185,253,3500,7414
155.000,1001,1001,134,177,201,316,520
156.001,1001,1001,137,184,225,363,760
157.001,1000,1000,141,184,213,312,984
158.001,1001,1001,138,171,202,364,1024
159.000,1000,1000,137,174,204,294,675
160.000,1001,1001,138,175,194,290,389
161.000,1000,1000,141,176,205,336,1186
162.000,1001,1001,145,186,220,338,591
163.000,1001,1001,136,181,207,339,1825
164.000,1000,1000,138,179,213,370,954
165.001,1000,1000,145,184,216,325,769
166.000,1001,1001,143,176,198,282,564
167.000,1001,1001,146,181,202,312,3054
168.000,1001,1001,133,175,213,303,448
169.000,1000,1000,139,178,213,621,2291
170.001,1000,1000,139,183,231,424,1300
171.001,1001,1000,132,183,215,311,478
172.000,1001,1002,146,192,232,355,780
173.001,1001,1000,138,178,212,299,524
174.001,1001,1001,144,182,208,315,458
175.000,1000,1001,138,178,203,292,542
176.001,1001,1001,139,190,224,336,1387
177.001,1000,1000,141,179,207,382,1079
178.001,1000,1000,140,183,224,307,498
179.001,1001,1001,138,182,214,329,671
180.000,1001,1001,139,177,203,290,683
181.001,1000,1000,134,172,192,278,606
182.001,990,990,137,179,220,430,3606
183.001,1012,1011,142,179,209,416,1348
184.000,1000,1001,138,177,209,297,629
185.000,1001,1001,138,174,201,288,538
186.000,1000,1000,140,178,206,339,818
187.000,1000,1000,143,184,207,307,665
188.000,1001,1001,143,182,210,331,1485
189.000,1000,1000,128,185,213,320,462
190.000,1001,1001,142,183,208,354,1202
191.001,1000,1000,142,184,227,378,1285
192.001,1001,1000,145,190,225,322,874
193.001,1000,1000,131,195,228,320,428
194.001,1000,1001,145,189,223,363,976
195.001,1000,1000,147,195,237,592,2616
196.001,1001,1000,142,179,212,335,633
197.000,1000,1001,141,179,213,316,436
198.000,1000,1000,140,183,219,330,1074
199.001,1000,1000,138,188,224,379,1621
200.000,1001,1001,137,186,264,2754,6942
201.000,1000,1000,137,176,208,299,584
202.000,1000,1000,149,184,219,321,463
203.000,1001,1001,144,186,221,358,3966
204.001,1001,1001,132,174,206,356,1677
205.001,1001,1001,147,185,215,324,741
206.001,1001,1001,141,194,228,337,1014
207.001,1000,1000,141,188,216,319,1181
208.001,1001,1001,139,191,218,298,575
209.000,1000,996,149,187,217,323,588
210.000,1000,1003,138,175,200,286,390
211.000,1000,1000,139,175,198,286,391
212.001,1001,1000,140,177,205,293,2580
213.001,1000,1001,140,177,198,305,593
214.000,1001,1001,142,177,204,282,402
215.000,1001,1001,136,182,204,298,377
216.000,1001,1001,139,175,204,304,3252
217.000,1000,1000,145,180,204,287,580
218.000,1000,1000,143,181,220,330,946
219.001,1001,1000,143,179,210,312,1046
220.000,1000,1001,136,173,195,279,414
221.001,1001,1000,115,182,227,467,1052
222.001,1000,1001,139,173,214,302,452
223.000,1000,1000,146,183,223,315,1163
224.000,1000,1000,142,183,218,320,650
225.000,1001,1001,137,185,222,349,1181
226.000,1000,1000,147,191,228,331,632
227.001,1001,1001,139,180,218,316,647
228.001,1000,1000,140,177,220,280,373
229.001,1002,1001,134,178,213,310,1492
230.000,1000,1001,145,190,219,394,1154
231.000,1001,1000,137,195,231,359,959
232.002,1000,999,145,199,243,385,833
