id: test-141813-329, starting consumer #0
id: test-141813-329, starting consumer #0, channel #0
id: test-141813-329, starting producer #0
id: test-141813-329, starting producer #0, channel #0
time               sent     received       consumer latency
1.002s       4382 msg/s   1621 msg/s 20469/97244/118222/148096/170354 µs
2.007s       5625 msg/s   8379 msg/s 126/96694/217769/282246/290365 µs
3.000s       5003 msg/s   5002 msg/s 112/463/2074/7775/18691 µs
4.000s       4999 msg/s   5001 msg/s 122/308/1567/13582/29517 µs
5.000s       5005 msg/s   5005 msg/s 109/305/1121/6012/9508 µs
6.000s       5001 msg/s   4996 msg/s 119/633/1800/10002/18919 µs
7.000s       5005 msg/s   5008 msg/s 122/543/1352/8810/13233 µs
8.000s       5000 msg/s   5001 msg/s 118/907/3730/25743/34262 µs
9.000s       5000 msg/s   4992 msg/s 122/700/1296/17788/33931 µs
10.000s      5005 msg/s   5011 msg/s 125/752/1424/12350/21229 µs
11.000s      5000 msg/s   4996 msg/s 116/531/1249/6672/13551 µs
12.000s      5000 msg/s   5006 msg/s 117/512/1306/9540/15474 µs
13.000s      5000 msg/s   4996 msg/s 118/287/1288/6258/16904 µs
14.000s      5005 msg/s   4977 msg/s 114/469/5227/23742/32253 µs
15.000s      5005 msg/s   5036 msg/s 124/939/2318/15278/27400 µs
16.000s      5000 msg/s   5000 msg/s 110/671/1166/24160/50277 µs
17.000s      5000 msg/s   5001 msg/s 114/491/1400/15005/31772 µs
18.000s      5006 msg/s   5004 msg/s 121/257/705/4162/6200 µs
19.000s      5000 msg/s   4821 msg/s 111/752/4004/17376/29430 µs
20.000s      5005 msg/s   5180 msg/s 114/804/9632/42584/49805 µs
21.000s      5000 msg/s   4833 msg/s 115/693/2670/16235/38904 µs
22.000s      5005 msg/s   5176 msg/s 118/925/3628/22295/32323 µs
23.000s      5000 msg/s   4982 msg/s 116/837/1925/17063/34473 µs
24.000s      5000 msg/s   5000 msg/s 119/951/5771/49574/72432 µs
25.000s      5005 msg/s   5013 msg/s 118/637/1198/15512/27936 µs
26.000s      5000 msg/s   5009 msg/s 119/697/1452/22411/53529 µs
27.000s      5005 msg/s   4954 msg/s 121/426/1242/13967/21198 µs
28.000s      5000 msg/s   5051 msg/s 125/813/1845/14941/26918 µs
29.000s      5005 msg/s   4926 msg/s 118/568/1305/11814/23224 µs
30.000s      5005 msg/s   4774 msg/s 112/1206/7736/34212/46342 µs
31.000s      5000 msg/s   5303 msg/s 125/744/3315/38214/60708 µs
32.000s      5000 msg/s   5006 msg/s 124/1117/2077/22735/43940 µs
33.000s      5001 msg/s   5000 msg/s 119/564/1669/13412/36112 µs
34.001s      5000 msg/s   4995 msg/s 121/760/1455/5867/9397 µs
35.000s      5004 msg/s   5002 msg/s 123/1000/4115/48599/71022 µs
36.000s      5001 msg/s   5006 msg/s 124/836/3005/29184/50881 µs
37.000s      4999 msg/s   5002 msg/s 116/753/1779/15170/23516 µs
38.000s      5006 msg/s   4964 msg/s 131/894/3341/23410/37194 µs
39.000s      5005 msg/s   5013 msg/s 124/867/3310/18061/34765 µs
40.000s      4999 msg/s   5033 msg/s 130/1124/5180/59230/76045 µs
41.000s      5006 msg/s   5003 msg/s 117/295/1167/12633/20008 µs
42.000s      5000 msg/s   5000 msg/s 119/722/1355/9417/18631 µs
43.000s      5005 msg/s   5006 msg/s 120/650/2509/18099/30135 µs
44.001s      5004 msg/s   4965 msg/s 120/675/1896/17170/29133 µs
45.000s      5001 msg/s   5037 msg/s 123/715/1461/7126/12184 µs
46.000s      5000 msg/s   4984 msg/s 121/859/1576/12107/39264 µs
47.000s      5000 msg/s   5017 msg/s 127/569/1525/9990/19215 µs
48.000s      5005 msg/s   5007 msg/s 123/603/1417/7754/12993 µs
49.000s      5005 msg/s   5006 msg/s 119/566/1395/9129/17470 µs
50.000s      5000 msg/s   4996 msg/s 121/746/2040/26502/46639 µs
51.000s      5005 msg/s   5007 msg/s 117/674/2175/19723/50640 µs
52.000s      5005 msg/s   5007 msg/s 121/455/1173/7158/21734 µs
53.000s      5005 msg/s   5005 msg/s 123/927/4274/38107/64736 µs
54.000s      5000 msg/s   5001 msg/s 121/947/1717/16111/30549 µs
55.000s      5001 msg/s   4994 msg/s 118/873/3940/17077/28121 µs
56.001s      5001 msg/s   5005 msg/s 125/1001/1837/12202/22018 µs
57.000s      5003 msg/s   5005 msg/s 121/809/2090/16704/25860 µs
58.000s      5005 msg/s   4955 msg/s 119/752/7688/40217/59338 µs
59.000s      5000 msg/s   5050 msg/s 126/801/2062/11145/19221 µs
60.000s      5006 msg/s   5004 msg/s 127/690/2056/15191/42580 µs
61.000s      5000 msg/s   5002 msg/s 125/686/1321/10938/26267 µs
62.000s      5005 msg/s   4951 msg/s 123/900/2148/14875/27666 µs
