time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
2.001,1000,1001,168,216,235,360,989
3.001,1001,1000,161,207,226,522,1475
4.000,1001,1001,151,193,207,308,567
5.000,1000,1000,164,205,223,505,750
6.000,1000,1000,149,191,208,336,4026
7.001,1000,1001,155,187,201,345,694
8.001,1000,1000,145,185,203,790,3040
9.001,1001,1000,143,192,207,704,1081
10.000,1001,1001,137,185,202,317,589
11.000,1000,1000,152,194,208,681,1287
12.003,1000,997,141,184,198,353,1067
13.000,1001,1004,151,193,209,478,1023
14.000,1000,1001,158,189,202,512,1139
15.000,1001,1000,137,189,202,350,711
16.001,1000,998,152,189,201,497,2205
17.000,1001,1004,144,193,207,347,807
18.001,1000,1000,157,188,206,427,685
19.001,1001,1001,150,193,214,526,1553
20.001,1000,1000,142,185,199,359,763
21.001,1001,1001,152,190,205,588,1900
22.001,1000,1000,153,189,210,492,613
23.000,1001,1000,152,186,204,353,899
24.000,1001,1002,152,186,205,305,557
25.001,1000,1000,145,196,209,368,978
26.001,1000,1000,155,187,199,304,1207
27.000,1001,1000,154,185,198,364,936
28.000,1000,1001,152,193,207,415,1231
29.001,1000,1000,148,187,199,435,948
30.000,1001,1000,136,194,206,388,931
31.001,1000,1001,149,185,196,228,605
32.000,1001,1001,142,191,204,346,596
33.000,1001,1001,139,187,199,238,446
34.000,1000,1000,149,186,202,363,600
35.000,1001,1001,148,185,200,407,814
36.000,1000,1000,144,187,203,499,1910
37.000,1000,1000,148,183,195,286,598
38.000,1001,998,143,184,197,304,815
39.000,1000,1001,146,185,198,442,865
40.000,1000,1001,139,180,194,447,748
41.000,1001,1001,148,185,200,518,2172
42.000,1000,1000,146,181,192,252,631
43.001,1000,1000,146,189,202,339,2010
44.000,1001,1001,141,188,205,493,1873
45.000,1001,1000,150,189,206,757,860
46.000,1000,1000,148,183,198,421,680
47.000,1001,1002,150,190,206,504,897
48.000,1000,1000,146,190,200,309,611
49.001,1000,1000,152,193,207,324,913
50.000,1001,1001,138,185,199,378,861
51.000,1000,1000,145,182,198,324,938
52.000,1000,1000,143,182,196,316,619
53.000,1001,1001,135,182,198,395,1437
54.001,1000,1000,140,186,204,506,1254
55.000,1001,1001,149,189,203,429,865
56.001,1000,1000,144,186,199,345,927
57.000,1001,1001,144,187,198,402,706
58.000,1001,1001,139,183,198,263,452
59.001,1000,1000,142,185,196,258,456
60.001,1001,998,147,192,209,1009,1217
61.001,1001,1003,152,189,200,360,704
62.001,1000,1000,146,189,209,538,1100
63.000,1001,1001,133,185,196,368,620
64.001,1000,1000,138,183,200,438,979
65.001,1001,1001,144,189,210,1381,2108
66.001,1000,1000,147,187,202,719,1847
67.001,1000,1000,150,190,206,359,792
68.007,994,994,136,182,196,436,1346
69.000,1007,1007,148,188,201,395,1741
70.000,1000,1000,154,186,203,331,897
71.000,1001,1001,143,187,203,373,969
72.000,1000,1000,147,180,196,292,608
73.000,1001,1001,147,182,193,284,1086
74.001,1000,1000,158,186,197,290,719
75.000,1001,1001,152,188,200,342,1049
76.001,965,965,155,186,195,249,533
77.000,1036,1036,149,185,198,791,1610
78.001,1000,1000,151,185,200,1074,3285
79.000,1001,1001,153,186,202,349,1082
80.000,1000,1000,131,186,201,438,723
81.000,1001,1001,150,184,199,488,1164
82.001,1000,1000,145,190,201,292,389
83.000,1001,1001,151,185,198,360,682
84.001,1000,1000,152,182,197,466,2726
85.000,1001,1001,147,192,209,491,983
86.001,1000,1000,141,186,207,651,2645
87.001,1000,1000,152,192,218,474,1178
88.001,1001,1001,147,188,203,377,876
89.001,1001,1000,157,189,208,330,581
90.000,1000,1001,157,191,204,315,1104
91.000,1001,1001,153,191,205,313,612
92.000,1000,1000,149,189,210,1349,1988
93.000,1001,1001,149,190,204,370,729
94.000,1001,1001,155,187,200,311,759
95.000,1000,1000,145,191,216,519,986
96.002,1000,1000,152,184,202,363,930
97.001,1000,1000,158,196,221,296,455
98.001,1001,1001,149,189,211,509,1193
99.001,1000,1000,149,187,200,306,626
100.000,1001,1001,156,193,213,367,1308
101.000,1000,1000,152,203,233,315,548
102.001,1000,1000,152,213,232,347,939
103.001,1000,1000,150,188,204,331,616
104.000,1001,1001,153,193,209,421,731
105.001,1000,1000,146,190,208,420,543
106.001,1000,1000,150,189,210,582,1291
107.001,1000,1000,153,190,202,339,1039
108.001,1000,1000,148,194,210,319,549
109.000,1001,1001,149,186,203,302,492
110.000,1000,1000,145,188,206,368,954
111.001,1000,1000,153,191,202,390,749
112.001,1000,1000,132,188,205,334,803
113.001,1001,1001,145,192,204,250,370
114.001,1000,999,149,186,199,333,574
115.003,996,997,150,197,220,791,2111
116.000,1006,1006,153,190,210,436,859
117.000,1001,1001,148,183,202,369,815
118.001,1000,1000,155,190,205,362,681
119.000,1001,1001,153,190,207,503,2067
120.001,1000,1000,150,187,204,315,792
121.001,1001,1001,147,188,200,282,521
122.001,1000,1000,147,192,216,486,720
123.000,1001,1001,149,190,204,294,506
124.000,1000,1000,153,187,206,321,809
125.001,1000,1000,158,190,208,505,1067
126.001,1001,1001,149,194,214,435,672
127.001,1000,1000,153,192,205,279,558
128.001,1001,1001,150,175,185,234,409
129.001,1000,1000,148,184,195,312,581
130.000,1001,1001,146,179,194,572,1382
131.000,1000,1000,148,181,196,463,1072
132.000,1000,1000,138,180,192,266,515
133.000,1001,1001,148,188,202,256,471
134.000,1001,1001,149,184,205,307,557
135.000,1001,1001,146,185,200,312,724
136.000,1000,1000,144,180,192,289,730
137.000,1001,1001,147,186,202,469,799
138.001,1000,1000,144,186,204,433,1083
139.000,1001,1001,147,184,201,335,1709
140.000,1000,1000,148,186,205,375,745
141.000,1001,1001,149,189,208,462,2001
142.000,1000,1000,154,195,224,688,1778
143.000,1001,1001,150,192,211,282,520
144.000,1000,1000,150,188,203,295,533
145.000,1001,1001,140,184,201,360,718
146.000,1001,1001,149,186,201,312,948
147.001,1001,1000,146,179,195,367,653
148.000,1000,1001,152,190,216,383,1169
149.000,1001,1001,150,188,207,439,911
150.000,1000,1000,140,179,196,327,721
151.001,1000,1000,142,175,189,267,464
152.001,1001,999,138,186,220,2590,9543
153.001,1000,1002,139,184,213,658,3023
154.001,1001,1001,143,187,218,357,662
155.001,1000,1000,146,193,219,427,783
156.000,1001,1001,147,182,202,329,616
157.000,1001,1001,150,190,214,330,641
158.000,1001,1001,139,182,201,519,828
159.000,1000,1000,146,189,209,315,526
160.002,1000,999,138,179,196,319,612
161.001,1000,1002,146,187,206,338,838
162.000,1001,1001,139,178,194,362,681
163.000,1001,1001,147,195,215,316,567
164.000,1000,1000,149,187,207,318,639
165.000,1000,1000,145,197,231,745,1080
166.000,1001,1001,140,177,189,290,803
167.001,1000,1000,142,186,202,267,970
168.001,1001,1001,143,180,198,360,1860
169.001,1001,1000,142,193,215,941,1376
170.000,1000,1001,134,178,192,291,740
171.000,1001,1001,150,192,212,280,768
172.000,1000,1000,143,183,198,289,645
173.000,1000,1000,151,190,208,395,655
174.001,1000,1000,151,189,207,326,506
175.000,1001,1001,144,180,199,381,1393
176.000,1000,1000,149,183,197,340,667
177.001,1000,1000,140,179,193,493,1140
178.000,1001,1001,140,181,197,357,989
179.000,1001,1001,144,174,191,476,738
180.001,1000,1000,138,187,202,731,3438
181.000,1001,1001,151,179,189,342,659
182.001,1000,1000,150,186,201,561,2165
183.000,1001,1001,152,185,204,273,406
184.000,1000,1000,151,192,211,416,1061
185.000,1000,1000,149,190,207,326,578
186.000,1001,1001,151,189,204,285,442
187.001,1000,1000,152,185,208,308,460
188.000,1001,1001,138,181,202,287,713
189.000,1001,1001,152,189,203,347,745
190.000,1000,1000,146,182,195,314,749
191.000,999,999,150,178,196,436,1106
192.000,1002,1002,149,186,199,363,600
193.001,1000,1000,149,188,209,657,3145
194.002,1000,999,147,179,197,853,1446
195.003,1000,1001,142,183,208,454,2027
196.001,1000,1000,143,182,199,329,705
197.000,1001,1001,150,186,200,305,889
198.001,1000,1000,148,178,190,315,727
199.001,1000,1000,148,176,188,267,522
200.000,1001,1001,147,177,190,336,746
201.001,1000,1000,149,182,194,265,406
202.001,1001,1001,149,180,192,290,651
203.000,1001,1001,147,182,197,335,1027
204.001,1000,1000,150,190,213,319,571
205.000,1001,1001,150,186,200,299,835
206.000,1000,1000,148,178,194,286,631
207.000,1000,1000,143,190,202,309,738
208.001,1000,1000,150,184,195,264,519
209.001,1001,999,142,178,191,288,825
210.001,1000,1002,133,186,197,277,434
211.001,1000,1000,145,190,208,382,624
212.001,1001,1001,147,193,212,302,465
213.000,1001,1001,155,190,208,986,1943
214.001,1001,1000,129,190,210,384,628
215.001,1000,1001,149,186,204,306,602
216.001,1000,1000,144,186,199,297,552
217.001,1001,1001,146,181,195,301,684
218.000,1001,1001,149,192,211,589,1801
219.003,1000,995,150,178,189,265,393
220.001,1000,1006,151,181,197,465,849
221.001,1001,1000,150,185,203,2843,3558
222.000,1000,1001,156,190,207,361,606
223.001,1000,1000,146,202,229,324,582
224.000,1001,1001,152,186,208,322,557
225.001,1000,1000,140,182,196,300,602
226.000,1001,1001,148,177,192,313,662
227.000,1001,1001,144,183,197,303,625
228.001,1001,1001,145,182,195,310,553
229.001,1000,1000,147,181,196,360,756
230.000,1001,1001,151,189,211,575,1765
231.001,1000,1000,149,193,209,339,614
232.001,1001,1001,138,178,190,304,489
233.001,1001,1000,151,185,198,318,666
234.001,1000,1001,140,180,194,285,455
235.001,1001,1001,152,186,202,922,1768
236.000,1000,1000,143,182,200,409,718
237.000,1000,1000,148,183,199,710,3225
238.000,1001,1001,141,184,208,320,625
239.001,1001,1001,147,192,211,376,685
240.000,1000,1000,148,184,197,363,998
241.000,1001,1001,146,179,194,313,537
242.001,1001,1000,135,180,197,437,807
243.000,1000,1001,145,191,213,359,681
244.000,1001,1001,150,191,207,491,1877
245.000,1000,1000,144,185,201,281,981
246.001,1000,1000,142,179,194,316,538
247.000,1001,1001,130,181,197,604,1694
248.001,1001,1001,143,181,201,342,697
249.001,1001,1001,146,195,219,315,524
250.001,1000,1000,149,187,204,272,404
251.002,999,999,142,194,221,4399,4918
252.000,1002,1002,146,188,204,394,1028
253.000,1001,1001,137,185,202,347,638
254.000,1001,1001,146,189,205,315,473
255.000,1000,1000,140,180,194,399,674
256.000,1001,1000,141,179,196,256,461
257.001,1000,1001,134,174,192,382,1641
258.001,1000,1000,148,184,198,295,480
259.000,1001,1001,136,182,200,370,1079
260.001,1001,1001,143,182,194,225,380
261.002,1001,999,129,177,194,369,1144
262.000,1000,1002,133,168,184,224,466
263.001,1000,1000,137,180,206,894,1259
264.000,1002,1001,146,187,210,1000,3524
265.000,1000,1001,144,185,205,383,1326
266.002,997,997,135,181,201,316,1897
267.000,1005,1004,144,179,192,228,487
268.000,1000,1001,132,173,188,363,639
269.002,998,998,141,180,199,503,915
270.000,1004,1003,146,176,194,309,1109
271.000,1000,1000,136,174,186,299,561
272.001,1000,1000,130,171,184,645,2925
273.000,1001,1001,140,179,193,379,1151
274.000,999,999,141,177,195,361,1053
275.000,1002,1002,142,176,190,332,1140
276.000,1000,1000,137,175,191,304,823
277.000,1000,1001,134,177,193,557,885
278.000,1001,1000,145,178,196,391,1359
279.000,1000,1000,126,185,200,302,978
280.000,1000,1001,142,173,188,366,554
281.000,1001,1000,139,174,188,274,503
282.001,1000,1000,142,175,187,291,453
283.000,1001,1001,133,177,201,1443,2425
284.000,1000,1000,147,176,188,297,622
285.000,1000,1000,128,176,198,1702,5784
286.000,1001,1001,142,174,190,351,1434
287.002,996,997,140,169,180,386,649
288.001,1005,1004,145,178,195,329,1600
289.001,1001,1001,139,187,195,416,642
290.001,1000,1000,146,181,193,304,648
291.000,1001,1001,131,176,190,298,677
292.000,1001,1001,145,187,203,448,1264
293.000,1000,1000,145,180,194,468,1012
294.000,1001,1001,133,181,198,381,785
295.000,1000,1001,131,175,188,416,2140
296.000,1001,1000,138,179,195,337,1584
297.000,1000,1000,135,178,191,428,1705
298.001,1000,1001,153,185,202,373,674
299.000,1001,1000,141,184,200,347,816
300.001,1000,1000,147,183,196,322,847
301.000,1001,1001,144,186,203,591,1042
302.001,1000,1001,147,183,204,441,1093
303.000,1001,1000,151,184,198,383,633
304.000,1000,1000,145,179,196,508,1094
305.001,1000,1000,148,182,197,664,1486
306.002,999,999,152,185,198,309,595
307.000,1002,1002,151,184,199,407,1015
308.001,1000,988,147,181,196,324,918
309.000,1001,1013,152,182,197,360,2336
310.000,1001,1001,155,184,202,534,802
311.000,1000,1000,147,179,195,434,1211
312.001,1000,1000,146,178,191,296,695
313.001,998,1000,139,184,201,645,2244
314.001,1003,1003,148,180,197,350,658
315.001,1001,1000,131,180,191,327,1435
316.001,1000,1001,131,179,192,370,1544
317.001,1000,998,135,184,196,364,709
318.001,1000,1002,152,188,201,356,530
319.000,1001,1000,153,191,206,347,1532
320.000,1000,1000,146,185,203,368,608
321.001,1001,1002,150,189,205,635,1196
322.000,1001,1001,153,186,198,348,639
323.001,1000,1000,137,183,200,410,751
324.001,1001,1001,155,188,208,500,1039
325.000,1001,1001,151,188,198,287,522
326.000,1001,1001,155,190,201,464,1742
327.001,1000,1000,144,180,195,523,1087
328.000,1001,1001,143,185,197,329,607
329.000,1000,1000,150,184,198,355,564
330.002,993,993,148,192,205,565,946
331.001,1008,1008,152,181,200,650,935
332.002,1000,997,149,182,195,432,906
333.000,1000,1004,145,177,192,424,589
334.000,1000,1000,148,181,193,290,494
335.000,1000,1000,149,180,196,411,1149
336.000,1000,1000,145,178,188,248,602
337.000,1000,1000,139,177,196,657,1996
338.000,1001,1001,136,185,200,534,1174
339.000,1001,1001,153,192,207,538,1585
340.000,1001,1001,131,183,196,239,538
341.000,1000,1000,150,181,199,573,1028
342.000,1001,1001,146,183,197,316,1479
343.000,1001,1000,151,181,195,353,865
344.000,1001,1002,150,186,201,546,1048
345.000,1001,1001,148,188,206,464,848
346.000,1000,1000,147,177,188,302,751
347.001,1000,1000,151,186,199,320,1072
348.001,1000,1000,146,183,199,370,1044
349.001,1000,1000,151,184,198,317,1635
350.000,1001,1001,140,176,190,351,550
351.000,1000,1000,135,182,207,895,3612
