time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.000,3509,3508,164,93238,139150,148184,150063
2.000,3509,3509,129,178,219,495,880
3.000,3511,3511,130,165,204,588,2634
4.000,3508,3509,124,165,196,485,1038
5.001,3507,3506,127,169,203,350,863
6.000,3513,3513,121,160,192,358,709
7.000,3508,3509,125,154,176,335,539
8.000,3509,3508,125,157,193,481,1281
9.000,3511,3511,119,149,187,732,2324
10.001,3508,3508,116,148,175,345,673
11.000,3511,3511,120,153,197,686,3377
12.000,3511,3511,115,153,190,569,1772
13.000,3508,3494,119,148,177,443,1234
14.000,3511,3525,121,147,190,406,1802
15.000,3508,3509,117,147,178,341,783
16.000,3512,3511,122,160,188,340,1254
17.000,3511,3511,122,160,197,359,934
18.000,3508,3508,121,163,214,578,1488
19.000,3511,3511,120,155,191,371,1116
20.000,3508,3508,124,161,201,641,1360
21.000,3511,3511,122,159,223,9515,14083
22.000,3508,3505,123,162,191,459,1382
23.000,3512,3515,128,166,189,402,1112
24.000,3508,3509,118,151,178,350,859
25.000,3512,3511,122,154,185,388,894
26.000,3511,3511,121,146,174,346,644
27.000,3511,3511,118,152,205,843,1797
28.001,3508,3509,117,151,190,403,1264
29.000,3511,3496,127,169,209,579,1455
30.000,3511,3525,122,157,189,430,1019
31.000,3509,3509,122,153,190,383,726
32.001,3510,3510,122,160,205,378,916
33.001,3510,3507,121,160,203,449,1031
34.000,3510,3514,108,149,175,372,734
35.000,3511,3511,122,151,187,363,638
36.000,3508,3508,125,167,230,982,2633
37.000,3512,3511,129,162,191,345,428
38.001,3509,3510,120,158,202,468,2118
39.001,3511,3507,109,158,190,393,1400
40.000,3511,3514,113,155,193,383,1062
41.000,3511,3511,121,156,200,623,2312
42.000,3508,3508,117,146,170,361,1220
43.000,3511,3512,121,154,191,375,1461
44.001,3508,3505,118,153,181,379,1510
45.000,3512,3514,120,155,192,412,1025
46.000,3511,3511,109,154,189,465,1003
47.000,3508,3509,117,146,179,436,828
48.000,3511,3511,120,147,181,519,5372
49.000,3511,3510,119,150,176,340,794
50.001,3509,3506,116,147,182,376,834
51.000,3510,3514,123,151,183,452,999
52.001,3509,3505,121,150,187,526,976
53.000,3511,3514,120,149,177,331,496
54.000,3508,3509,121,146,172,352,897
55.001,3509,3505,122,155,203,509,1068
56.001,3509,3513,115,161,216,525,1869
57.001,3510,3506,125,155,187,421,807
58.000,3511,3514,125,158,194,416,1301
59.000,3511,3511,120,156,180,319,436
60.001,3506,3506,114,160,188,362,661
61.000,3513,3514,111,145,189,714,1428
62.000,3511,3511,113,159,202,899,3578
63.001,3510,3510,115,158,202,436,1169
64.000,3506,3506,121,165,209,454,910
65.000,3515,3514,117,165,216,463,1074
66.000,3511,3512,107,146,171,331,504
67.000,3511,3511,106,147,182,365,589
68.000,3509,3505,114,158,195,401,807
69.000,3511,3514,116,155,195,507,1075
70.000,3508,3508,109,160,204,398,888
71.000,3511,3511,106,154,193,482,1021
72.001,3511,3508,116,154,184,406,1383
73.001,3509,3513,117,149,175,353,616
74.000,3511,3510,113,150,184,401,1301
75.001,3511,3508,113,145,178,452,1839
76.000,3508,3512,117,170,221,495,1026
77.000,3509,3508,125,164,202,448,1133
78.000,3511,3511,115,164,209,402,781
79.000,3508,3509,120,164,207,385,1221
80.000,3512,3510,124,166,200,402,1689
81.000,3511,3512,121,173,221,437,980
82.000,3508,3509,122,204,272,537,1306
83.001,3508,3505,127,234,369,802,1742
84.001,3510,3512,125,267,460,1168,1818
85.000,3513,3511,126,201,281,566,1085
86.001,3508,3511,123,198,311,4177,6732
87.001,3509,3508,122,179,242,424,629
88.001,3511,3511,117,165,213,492,2168
89.001,3511,3508,116,159,189,422,976
90.000,3511,3511,117,156,203,399,918
91.000,3511,3514,117,155,198,434,906
92.000,3508,3509,120,166,202,390,1013
93.000,3508,3508,111,152,196,531,929
94.000,3508,3508,119,162,196,363,500
95.000,3512,3511,119,167,215,429,1219
96.000,3511,3511,116,161,192,382,747
97.000,3508,3509,119,162,190,423,821
98.000,3511,3511,116,164,214,458,822
99.001,3511,3510,115,153,178,393,969
100.000,3508,3507,113,156,193,437,1354
101.000,3509,3508,110,157,193,468,1087
102.000,3511,3514,113,154,187,398,877
103.001,3509,3509,116,157,208,714,1403
104.000,3516,3516,115,161,202,476,1106
105.000,3505,3505,110,152,185,353,887
106.000,3509,3509,117,166,205,488,1232
107.000,3511,3510,115,164,198,382,1441
108.000,3511,3511,118,164,214,446,1017
109.000,3509,3509,116,166,202,476,3055
110.000,3510,3507,118,166,204,387,714
111.001,3510,3513,118,160,194,400,745
112.000,3511,3511,115,170,215,436,1500
113.001,3510,3510,111,153,186,456,820
114.001,3511,3511,113,154,180,405,1056
115.000,3510,3510,111,159,189,363,564
116.000,3508,3509,117,167,205,468,1018
117.000,3509,3508,113,152,180,347,527
118.000,3511,3511,116,155,188,389,922
119.000,3511,3507,119,155,189,412,704
120.000,3511,3516,116,160,191,469,862
121.000,3509,3508,113,156,192,403,1321
122.000,3511,3507,121,168,220,517,937
123.000,3511,3515,109,158,213,596,921
124.000,3508,3508,122,159,199,819,5222
125.000,3508,3493,119,154,184,345,576
126.000,3511,3522,123,166,220,597,1059
127.000,3508,3513,122,155,190,537,992
128.000,3509,3508,124,157,186,377,1035
129.000,3511,3511,127,168,210,416,763
130.000,3508,3508,119,161,207,446,988
131.000,3511,3512,120,146,172,418,828
132.000,3508,3508,121,171,238,1426,5118
133.000,3511,3511,129,174,238,479,928
134.000,3511,3511,125,162,207,730,3628
135.000,3509,3508,110,160,207,478,890
136.000,3507,3509,125,164,225,525,1124
137.000,3512,3511,125,162,198,424,987
138.000,3511,3511,121,159,188,405,813
139.000,3509,3508,122,156,189,371,697
