time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.0,2003,2003,193,49940,73764,95794,96712
2.0,2000,1999,160,229,466,4981,7927
3.002,1985,1987,141,264,884,7498,12102
4.0,2018,2016,124,263,377,1263,5916
5.0,2002,2001,129,270,371,943,3473
6.001,2000,2001,125,247,332,837,12168
7.0,2001,2002,145,245,361,772,1979
8.0,2001,2000,145,237,348,666,1538
9.0,2002,2002,137,240,360,995,4447
10.0,2000,2000,132,235,320,565,1320
11.0,1999,2000,134,231,355,757,1959
12.0,2003,2002,129,233,350,714,5520
13.0,2000,2000,136,223,337,557,1678
14.0,2002,2002,124,244,325,545,5638
15.0,2000,2000,134,232,330,490,1024
16.0,2002,2002,140,234,351,579,2537
17.0,2002,2002,142,231,339,738,1775
18.0,2000,2000,144,223,333,501,834
19.0,2002,2002,130,227,310,449,1157
20.0,2000,2000,138,237,318,469,763
21.0,2002,2002,130,219,337,739,1639
22.0,2000,2000,140,218,318,560,1408
23.0,2000,2000,140,214,320,511,903
24.0,2002,2002,133,221,324,514,1078
25.0,2000,2000,145,226,337,726,8495
26.0,2002,2002,130,241,347,601,1553
27.0,2002,2002,150,234,346,670,1139
28.0,2000,2000,145,232,336,582,1027
29.0,2002,2002,140,228,330,518,940
30.0,2002,2003,127,256,352,805,2632
31.0,2000,2000,135,231,322,490,884
32.0,2000,2000,130,244,339,676,1471
33.0,2002,2002,129,227,339,522,1164
34.0,2000,1998,144,222,323,509,794
35.0,2002,2003,134,230,345,718,1434
36.0,2000,2001,129,226,338,502,863
37.0,2002,2002,142,218,348,683,4947
38.0,2000,1988,141,231,338,655,1800
39.0,2000,2012,135,246,360,783,4023
40.0,2002,2002,138,235,354,663,1131
41.0,2000,2000,139,244,361,684,1642
42.0,2002,2002,145,231,342,541,930
43.0,2000,1999,136,222,339,548,1019
44.0,2002,2002,147,236,355,564,1165
45.0,2002,2002,137,238,343,508,1284
46.0,2000,2000,147,227,336,743,2011
47.0,2002,2003,137,218,332,543,1107
48.0,2002,2002,143,237,366,994,2746
49.0,2000,1999,138,256,369,686,1401
50.0,2000,2001,147,280,420,1379,2969
51.0,2002,2002,142,241,384,1188,7753
52.0,2000,2000,141,256,376,681,1975
53.0,2002,2001,138,253,377,778,3568
54.0,2000,2001,148,253,353,631,1101
55.0,2002,2002,141,238,356,668,1646
56.0,2001,1995,144,243,354,643,1084
57.0,2003,2003,143,230,360,628,1103
58.0,2002,2007,141,222,338,589,1117
59.0,2000,2000,146,223,349,717,1361
60.0,2000,2000,145,224,349,593,1122
61.0,2002,2002,144,246,361,846,1993
62.0,2001,2000,143,230,361,683,1554
63.0,2000,2000,133,237,333,601,1319
64.0,2001,1996,128,246,335,645,2901
65.0,2001,2005,144,220,343,520,963
