time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.004,2003,2002,183,18889,30062,41985,43415
2.0,2002,2002,154,222,279,2131,7231
3.0,2001,2002,147,269,457,4109,6427
4.001,2001,2000,148,231,287,662,4314
5.0,2002,2002,145,205,236,500,895
6.0,2000,2000,140,193,219,323,568
7.0,2002,2002,144,195,233,450,1321
8.0,2002,2002,144,209,287,460,928
9.0,2000,2000,137,228,317,441,621
10.0,2000,2001,141,265,304,356,788
11.0,2000,1999,148,264,317,409,824
12.0,2000,2000,144,265,303,379,4504
13.0,2002,2002,151,273,319,392,591
14.0,2000,2001,156,255,294,381,632
15.0,2002,2001,146,238,278,346,1006
16.0,2000,2000,150,258,305,445,6593
17.0,2000,2000,159,238,276,347,540
18.0,2001,2002,147,222,262,334,545
19.0,2001,2001,153,221,254,327,927
20.0,2000,1999,151,217,251,349,589
21.0,2000,2000,149,215,247,333,446
22.0,2002,2003,152,209,244,393,686
23.0,2002,2002,150,204,226,348,510
24.0,2000,2000,153,205,239,439,938
25.0,2000,2000,142,211,251,447,549
26.0,2002,2002,146,216,306,401,716
27.0,2000,2000,146,253,316,387,587
28.0,2002,2002,141,272,318,431,807
29.0,2002,2001,152,285,318,392,623
30.0,2002,2002,125,265,310,386,811
31.0,2000,2001,155,262,311,396,747
32.0,2002,2002,155,253,294,360,436
33.0,2000,2000,156,244,284,352,574
34.0,2000,2000,155,244,286,353,542
35.0,2000,2000,164,236,293,395,612
36.0,2002,2002,155,221,259,361,557
37.0,2002,2002,152,213,247,393,729
38.0,2000,2000,153,208,240,357,1096
39.0,2002,2002,148,214,259,439,591
40.0,2002,2002,140,216,244,354,510
41.0,2002,2002,152,205,234,382,629
42.0,2000,2000,138,205,276,360,502
43.0,2002,2002,143,229,303,391,551
44.0,2000,2000,135,260,327,422,815
45.0,2000,2000,152,263,301,346,434
46.0,2002,2002,140,256,285,339,483
47.0,2000,2000,144,249,281,346,582
48.0,2001,2000,152,248,281,356,3918
49.0,2000,2000,149,226,262,319,499
50.0,2001,2002,157,241,295,375,566
51.0,2002,2002,151,244,290,360,540
52.001,2003,2003,153,230,263,326,421
53.0,2000,1998,154,221,255,364,498
54.0,2002,2002,153,230,294,386,587
55.0,2002,2002,144,214,262,422,972
56.0,2000,2000,153,217,256,348,730
57.0,2002,2002,154,215,264,418,535
58.0,2000,2000,147,202,231,345,458
59.001,2000,2000,150,199,244,351,503
60.0,2001,2002,148,209,284,357,940
61.0,2000,2000,149,268,319,393,485
62.0,2001,2000,140,267,329,421,723
63.0,2000,2000,147,261,296,368,701
64.0,1999,2000,150,258,293,373,512
65.0,2003,2002,155,246,281,327,459
66.001,2000,2000,146,262,328,424,734
67.0,2002,2003,146,259,320,416,1000
68.0,2002,2001,155,257,311,400,551
69.0,2000,2000,155,213,245,299,372
70.0,2000,2001,137,222,264,352,1004
71.0,2002,2001,144,196,221,307,450
72.0,2000,2001,143,210,255,392,562
73.0,2002,2001,156,208,243,333,495
74.0,2000,2000,148,220,252,396,574
75.0,2000,2000,154,225,288,393,513
76.0,2000,2001,150,233,292,364,520
77.0,2002,2002,147,251,309,392,646
78.0,2000,2000,137,255,293,359,601
79.0,2002,2001,141,235,273,334,504
80.0,2002,2003,155,239,282,352,494
81.0,2000,1999,157,223,269,355,532
82.0,2001,2002,157,242,300,392,629
83.001,2001,2001,153,216,254,346,454
84.0,2002,2002,150,216,256,396,677
85.002,2000,1997,155,206,229,322,440
86.0,2001,2005,149,210,247,399,767
87.0,2002,2002,137,227,309,378,507
88.0,2001,2001,146,258,308,388,493
89.0,2000,1999,157,236,294,343,412
90.0,2003,2004,149,269,312,421,2211
91.0,2002,2002,139,257,298,371,468
92.001,2000,2000,152,259,315,386,694
93.0,2002,2002,141,227,269,343,504
94.0,2002,2002,151,229,276,360,554
95.0,2002,2002,153,223,267,345,498
96.0,2000,2000,156,219,253,329,489
97.0,2000,2000,144,234,293,418,977
98.0,2002,2002,144,205,236,326,472
99.0,2000,2000,145,211,238,344,477
100.0,2000,2000,139,200,222,339,505
101.0,2002,2001,141,216,277,391,518
102.0,2000,1999,142,232,327,408,537
103.0,2000,2002,149,252,331,414,635
104.0,2002,2002,137,230,298,357,434
105.0,2002,2002,142,259,302,352,504
106.0,2000,2000,144,259,296,339,484
107.0,2002,2002,134,262,298,364,513
108.0,2000,2000,143,268,304,421,852
109.0,2002,2002,149,260,316,384,648
110.0,2002,2001,138,243,286,346,432
111.0,2000,2001,122,239,289,366,716
112.0,2002,2002,142,219,255,339,483
113.0,2001,2000,148,210,244,328,517
114.0,2001,2002,149,205,234,319,565
115.0,2001,2000,147,222,274,384,538
116.0,2000,2000,143,200,223,338,493
117.0,2002,2003,137,203,244,408,765
118.0,2000,1999,132,203,276,397,495
119.0,2002,2002,144,218,309,390,538
120.0,2002,2002,146,228,309,366,582
121.0,2000,2000,145,263,312,382,673
122.0,2002,2002,141,280,336,403,727
123.0,2000,2000,136,253,297,393,726
124.0,2002,2002,141,255,287,339,480
125.0,2000,2000,131,251,294,365,927
126.0,2000,2000,149,250,301,385,757
127.0,2000,2000,149,241,299,406,1084
128.0,2002,2002,155,208,245,328,453
129.0,2000,2000,143,207,250,350,503
130.0,2002,2002,141,206,244,321,498
131.0,2000,2000,149,196,226,318,457
132.0,2002,2002,144,194,211,297,403
133.0,2000,2000,143,195,219,309,512
134.0,2000,2000,138,212,242,365,541
135.0,2002,2002,146,217,255,411,556
136.0,2002,2002,144,220,314,440,634
137.0,2000,2001,146,234,315,423,741
138.0,2002,2001,144,246,310,398,492
139.0,2002,2002,139,264,301,423,656
140.0,2000,2000,141,247,285,354,495
141.0,2000,2000,154,250,291,349,468
142.0,2000,2001,150,231,270,343,619
143.0,2002,2001,131,221,263,340,546
144.0,2000,2001,145,225,278,405,741
145.0,2002,2002,145,210,253,418,4982
146.0,2000,2000,153,227,282,494,753
147.0,2000,2000,141,220,302,508,1884
148.0,2002,2001,147,215,302,418,580
149.0,2000,2001,138,226,304,368,529
150.0,2002,2001,147,253,303,380,557
151.0,2000,2001,145,265,321,408,690
152.0,2002,2002,144,282,334,436,1481
153.0,2000,2000,147,259,316,437,836
154.0,2000,2000,144,253,312,385,880
155.0,2002,2002,155,237,298,368,554
156.0,2000,2000,151,201,224,314,557
157.0,2002,2002,148,207,237,430,1394
158.0,2002,2002,136,204,235,354,560
159.0,2002,2001,133,198,244,339,463
160.0,2000,2001,140,217,298,358,518
161.0,2000,2000,135,254,294,351,665
162.0,2000,2000,142,251,283,344,717
163.0,2000,2000,139,255,291,347,495
164.0,2002,2002,147,255,300,370,566
165.0,2000,2000,146,236,271,331,507
166.0,2002,2002,156,236,276,325,373
167.0,2000,2000,148,237,293,366,535
168.0,2002,2002,136,229,276,348,459
169.0,2000,2000,141,208,243,318,488
170.0,2002,2002,149,201,230,300,441
171.0,2002,2002,153,207,237,331,457
172.0,2000,2000,152,208,235,319,476
173.0,2002,2002,147,199,221,319,450
174.0,2001,2000,141,197,222,340,464
175.0,2002,2002,133,196,233,347,515
176.0,2000,2000,140,222,308,400,516
177.0,2001,2002,138,246,308,414,916
178.0,2000,2000,140,221,283,354,516
179.0,2001,2000,140,262,299,347,469
180.0,2001,2002,141,260,293,348,549
181.0,2000,2000,150,261,304,377,576
182.0,2002,2002,139,235,274,337,449
183.0,2001,2000,141,247,294,364,643
184.0,2000,2000,142,252,313,409,590
185.0,2002,2002,133,217,254,321,487
186.0,2000,2000,145,220,255,312,442
187.0,2000,2000,145,217,252,338,558
188.0,2000,2000,143,223,275,361,646
189.0,2000,2000,141,215,260,350,532
190.0,2000,2000,131,197,221,317,465
191.0,2002,2002,149,211,246,343,725
192.0,2000,2000,137,195,222,314,533
193.001,2000,2001,139,206,244,333,509
194.0,2002,2001,135,193,212,376,1242
195.0,2002,2002,137,186,209,314,443
196.0,2000,2000,135,216,299,375,521
197.0,2000,2000,133,256,301,368,621
198.0,2002,2002,143,260,308,370,462
199.0,2002,2003,142,260,304,371,558
200.0,2000,2000,145,264,305,368,598
201.0,2002,2001,139,249,284,327,860
202.0,2000,2001,135,249,281,335,533
203.0,2000,2000,136,235,265,306,401
204.0,2002,2001,154,257,305,372,1728
205.0,2000,2001,127,234,276,367,1026
206.0,2002,2001,147,241,278,358,578
207.0,2000,2000,142,232,273,340,471
208.0,2002,2002,149,212,250,314,437
209.0,2000,1999,145,233,291,372,554
210.0,2000,2001,152,209,238,340,521
211.0,2000,2001,142,204,228,324,474
212.0,2002,2002,155,204,233,350,633
213.0,2000,2000,138,200,222,319,433
214.0,2000,2000,137,221,304,414,700
215.0,2002,2002,144,233,328,402,2096
216.0,2002,2001,150,229,323,393,556
217.0,2000,2001,145,261,303,362,532
218.0,2002,2002,139,256,293,335,414
219.0,2000,2000,144,250,285,337,460
220.0,2002,2002,144,250,285,353,1119
221.0,2002,2002,145,224,264,326,451
222.0,2002,2002,150,219,266,349,529
223.0,2000,2000,137,200,235,305,422
224.0,2000,2000,142,190,211,288,411
225.0,2000,2000,146,199,227,328,552
226.0,2002,2002,147,220,256,370,650
