time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.0,2004,2002,201,78625,90642,98535,99206
2.0,2002,2003,150,247,327,863,1519
3.0,2000,2000,153,214,282,529,5232
4.0,2002,2002,153,212,276,375,728
5.0,1999,2000,148,214,268,349,579
6.0,2003,2002,151,204,241,393,962
7.0,2000,2001,151,204,252,351,498
8.0,2002,2001,140,204,250,320,371
9.0,2000,2000,147,198,248,329,403
10.0,2000,2000,150,208,258,346,999
11.001,2000,2001,146,206,259,358,3359
12.0,2002,2001,146,203,243,335,2383
13.0,2002,2002,157,201,243,351,1263
14.0,2002,2002,146,205,247,340,492
15.0,2002,2002,150,212,264,348,519
16.0,2002,2002,146,199,237,324,774
17.0,2000,2000,150,206,250,328,404
18.0,2001,2002,152,204,243,326,409
19.0,2001,2000,148,206,241,334,472
20.0,2000,2000,152,203,242,322,509
21.0,2002,2002,155,200,238,319,435
22.0,2002,2002,151,206,254,338,437
23.0,2000,2001,149,212,264,338,414
24.0,2002,2001,153,199,233,330,3118
25.0,2000,2000,147,204,247,325,535
26.003,2000,2000,144,207,258,5962,7573
27.0,2001,2002,146,211,262,349,475
28.0,2000,2000,155,203,237,326,409
29.0,2000,2000,157,211,263,363,557
30.0,2002,2001,156,206,246,319,430
31.0,2002,2002,151,210,263,342,428
32.0,2000,2001,150,205,238,316,396
33.0,2000,2000,152,209,248,343,649
34.0,2000,1999,155,212,270,367,1005
35.0,2002,2003,144,208,253,341,501
36.001,2000,2000,157,205,248,336,438
37.001,2002,2002,149,213,262,347,433
38.0,2002,2002,149,211,269,365,703
39.001,2000,2000,139,208,246,347,450
40.0,2002,2002,143,201,238,330,468
41.0,2002,2001,139,201,238,321,408
42.0,2000,2000,148,202,236,329,438
43.0,2000,2001,152,202,250,359,12442
44.0,2002,2002,157,208,262,350,492
45.0,2000,2000,149,208,262,350,748
46.0,2002,2001,149,203,247,343,491
47.0,2000,2001,145,210,247,335,396
48.0,2002,2002,145,204,243,327,517
49.0,2002,2002,151,194,224,308,444
50.0,2000,2000,149,212,271,425,1632
51.0,2002,2002,141,201,244,326,372
52.0,2002,2002,146,199,241,332,433
53.0,2000,2000,149,216,273,362,1024
54.0,2000,2000,143,209,258,347,496
55.0,2002,2002,144,209,259,359,842
56.0,2002,2002,151,205,243,344,557
57.0,2002,2002,144,214,265,367,659
58.0,1999,1999,145,211,260,359,487
59.0,2003,2003,161,215,267,358,702
60.0,2000,2000,155,216,268,373,774
61.0,2000,2000,134,202,246,333,958
62.0,2000,2000,149,206,260,359,546
63.001,2002,2002,141,211,259,370,614
64.0,2000,2000,129,209,264,365,540
65.0,2003,2002,131,210,262,353,486
