time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.0,3005,3005,186,50782,75841,107168,108868
2.001,2997,2994,148,199,255,2148,6094
3.0,3011,3014,135,241,350,3971,6107
4.0,3003,3003,134,204,268,499,1126
5.0,3003,3003,140,213,274,451,849
6.0,3006,3005,128,220,274,381,684
7.0,3003,3003,140,212,265,359,559
8.0,3006,3006,142,215,264,346,452
9.0,3003,3003,129,211,254,342,457
10.0,3003,3004,141,207,258,363,603
11.0,3006,3005,139,210,259,346,561
12.0,3006,3006,131,217,273,357,560
13.0,3003,3003,137,208,255,341,481
14.001,3005,3005,139,211,265,353,552
15.0,3004,3004,143,216,264,354,975
16.0,3003,3004,138,214,260,356,986
17.0,3006,3005,132,217,267,352,3291
18.0,3003,3003,137,206,253,341,743
19.0,3006,3006,142,214,276,348,7688
20.0,3006,3006,137,209,260,353,6458
21.0,3003,3003,139,209,256,346,736
22.0,3003,3003,129,204,258,329,378
23.0,3006,3006,130,212,256,333,396
24.0,3006,3006,138,217,283,362,490
25.0,3003,3003,132,207,256,334,452
26.0,3006,3006,139,206,256,368,589
27.0,3005,3006,138,211,288,2584,6339
28.0,3004,3003,138,214,268,352,539
29.0,3006,3006,132,213,268,350,427
30.0,3003,3003,134,216,269,352,448
31.0,3005,3006,140,214,263,347,475
32.0,3004,3003,134,209,258,344,495
33.0,3003,3003,137,211,259,345,508
34.0,3005,3006,137,213,267,355,487
35.0,3004,3003,136,225,290,526,4860
36.0,3006,3006,133,215,278,377,573
37.0,3005,3006,143,212,267,368,854
38.0,3003,3003,136,222,279,372,504
39.0,3003,3003,133,203,251,336,550
40.0,3003,3003,143,216,264,360,611
41.0,3007,3006,136,204,258,344,987
42.0,3005,3005,136,207,251,330,425
43.0,3006,3006,140,209,259,345,657
44.0,3006,3006,134,204,259,341,704
45.0,3003,3004,138,220,275,367,586
46.0,3004,3003,129,219,265,360,532
47.0,3005,3005,141,211,261,363,539
48.0,3006,3006,141,216,265,356,478
49.0,3003,3004,133,209,258,354,549
50.0,3003,3002,135,203,258,349,591
51.0,3003,3004,132,214,277,588,3273
52.0,3006,3005,134,210,256,363,786
53.0,3003,3003,136,206,263,356,496
54.0,3006,3006,138,225,283,428,1059
55.0,3003,3003,137,220,272,380,690
56.0,3006,3006,143,214,272,369,539
57.0,3006,3006,131,216,271,383,1228
58.0,3003,3003,143,220,264,353,553
59.001,3004,3005,144,222,279,383,814
60.0,3005,3004,145,221,276,365,528
61.0,3003,3003,141,223,289,414,994
62.0,3003,3003,129,213,267,368,930
63.0,3006,3006,140,211,257,334,449
64.0,3003,3003,147,220,270,361,605
65.0,3003,3003,137,227,288,388,843
66.0,3005,3006,132,222,272,359,565
67.0,3005,3004,131,216,275,496,1394
68.0,3005,3005,139,220,267,358,540
69.001,3004,3000,145,227,282,362,622
70.0,3005,3009,141,209,266,366,468
71.0,3002,3003,145,213,267,360,588
72.0,3004,3003,136,210,255,337,512
73.0,3003,3003,137,216,262,364,555
74.0,3006,3006,142,217,266,352,607
75.0,3005,3006,130,208,258,357,1302
76.0,3004,3003,128,213,262,356,567
77.0,3003,3003,141,208,256,332,515
78.0,3005,3006,144,215,268,346,618
79.0,3006,3006,140,212,255,343,511
80.0,3006,3006,137,213,268,380,611
81.0,3006,3006,140,211,259,339,435
82.0,3003,3003,132,217,273,376,524
83.0,3003,3002,142,214,262,341,483
84.0,3006,3007,146,216,263,348,454
85.001,3006,3005,142,212,261,355,533
86.0,3003,3004,140,208,252,349,930
87.0,3005,3006,141,211,268,361,507
88.0,3004,3003,139,222,273,373,538
89.0,3006,3006,142,214,265,350,584
90.0,3006,3005,139,215,273,371,607
91.0,3003,3003,128,216,263,345,434
92.0,3006,3007,126,208,253,356,600
93.0,3006,3005,125,206,262,342,480
94.0,3003,3003,128,205,264,361,507
95.0,3003,3003,125,206,259,360,911
96.0,3006,3006,127,209,258,342,449
97.0,3003,3004,130,203,246,328,407
98.0,3006,3005,129,205,260,338,424
99.0,3003,3003,133,204,253,338,407
100.0,3006,3006,132,207,256,340,547
101.0,3006,3006,127,202,246,327,716
102.0,3006,3007,129,216,263,339,469
103.0,3006,3006,128,212,261,343,555
104.0,3003,3002,129,214,275,438,2606
105.0,3003,3003,135,207,257,338,393
106.001,3003,3003,133,213,260,346,595
107.0,3006,3006,131,214,260,335,492
108.0,3006,3006,125,202,244,321,422
109.0,3003,3003,120,193,237,318,471
110.001,3004,3004,128,198,242,340,627
111.001,3002,3002,134,203,244,330,464
112.0,3006,3006,124,196,237,315,356
113.0,3006,3006,130,199,246,320,417
114.0,3003,3003,128,196,239,318,350
115.0,3006,3006,129,203,253,343,775
116.0,3006,3006,128,203,262,342,1135
117.0,3003,3003,121,207,253,328,744
118.0,3006,3006,133,200,247,334,501
119.0,3003,3003,129,202,255,345,454
120.0,3003,3003,123,196,235,320,444
121.001,3000,3000,129,193,233,316,448
122.0,3006,3005,125,196,242,327,432
123.0,3006,3006,130,200,234,319,437
124.001,3003,3004,129,197,242,340,765
125.0,3006,3005,132,202,246,335,635
126.0,3006,3006,133,200,259,410,2156
127.0,3005,3006,121,188,228,320,974
128.0,3006,3006,123,196,239,321,415
129.002,3005,2990,128,204,253,349,493
130.0,3003,3019,134,201,246,345,679
131.0,3004,3002,131,212,256,343,437
132.0,3005,3007,123,200,255,336,511
133.0,3006,3005,131,213,259,356,496
134.0,3003,3004,131,201,253,338,565
135.0,3006,3006,132,218,283,367,960
136.0,3006,3005,127,205,252,339,507
137.0,3003,3004,132,204,253,341,513
138.0,3003,3002,132,204,250,358,504
139.0,3004,3001,124,193,237,335,567
140.0,3002,3006,128,210,258,351,517
141.0,3006,3006,132,207,249,339,466
142.0,3006,3006,129,204,250,332,431
143.0,3006,3006,131,202,248,329,472
144.0,3003,3002,128,208,253,344,869
145.0,3006,3006,115,202,256,356,699
146.0,3003,3004,124,200,260,423,918
147.0,3006,3005,119,197,250,398,1033
