time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.0,2003,2003,162,5954,51097,54951,55602
2.001,2002,2001,151,224,338,2204,4479
3.0,2001,2001,162,218,286,21053,35680
4.0,2000,2000,158,212,298,410,3625
5.0,2002,2002,147,208,316,444,2286
6.0,2000,2000,152,204,311,392,472
7.0,2002,2000,150,210,316,399,523
8.0,2000,2002,156,203,313,379,666
9.0,2000,2000,144,202,311,447,9233
10.0,2000,2001,143,203,320,437,1179
11.0,2002,2001,140,204,312,405,621
12.0,2000,2000,146,193,302,386,515
13.0,2000,2000,147,209,313,455,1248
14.0,2002,2002,147,207,331,433,1603
15.0,2000,2001,145,209,319,404,3335
