time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.001,2004,2003,152,950,4849,19532,21394
2.0,2002,2002,161,238,343,1150,5060
3.0,2001,2002,155,210,235,455,3147
4.001,2000,2000,155,207,237,378,722
5.0,2003,2002,162,202,221,359,722
6.0,2000,2000,146,205,222,361,552
7.0,2000,2000,147,198,219,376,1385
8.0,2002,2002,151,198,215,339,381
9.001,2000,2001,156,203,221,342,646
10.0,2002,2001,154,202,223,382,6375
11.0,2002,2002,148,204,226,359,702
12.0,2002,2002,145,200,221,397,1168
13.001,2000,2000,142,196,210,328,412
14.0,2002,2002,154,203,231,392,2464
15.0,2000,2001,158,197,219,845,2534
16.001,2000,2000,150,202,220,361,650
17.001,2002,2002,141,198,216,353,1085
18.0,2002,2002,153,202,225,406,772
19.0,2000,2000,156,202,217,344,451
20.0,2000,1999,160,203,227,342,459
21.001,2001,2001,138,204,229,355,571
22.002,2001,2002,148,204,221,346,553
23.0,2002,2002,160,203,223,359,1086
24.0,2000,2000,161,211,228,348,712
25.0,2000,2000,145,203,228,463,1835
26.001,2000,2000,143,196,211,335,885
27.0,2002,2002,155,205,228,382,1281
28.001,2000,2000,149,206,224,334,403
29.0,2002,2002,145,200,220,370,770
30.0,2000,1999,155,205,223,335,543
31.0,2002,2003,154,206,227,439,1212
32.0,2002,2002,163,200,216,335,919
33.0,2000,2000,150,198,212,339,751
34.0,2002,2002,139,197,211,317,447
35.0,2000,1999,150,199,221,334,1097
36.0,2002,2003,155,204,223,332,1024
37.001,2000,2000,159,198,215,317,407
38.0,2002,2002,149,198,213,317,565
39.0,2002,2002,152,210,231,347,569
40.001,2001,1999,146,201,219,487,1087
41.0,2001,2003,152,201,218,369,688
42.001,2001,2000,154,195,209,306,840
43.0,2001,2002,159,198,215,377,687
44.001,2000,2000,157,199,213,310,429
45.0,2002,2002,141,199,223,480,1332
46.0,2000,2000,139,200,217,372,1087
47.0,2001,2000,159,203,218,310,521
48.0,2001,2002,161,196,209,310,462
49.0,2000,2000,146,203,222,381,885
50.001,2001,2000,163,196,209,291,600
51.0,2002,2002,153,198,215,345,529
52.001,2001,2001,150,198,212,329,710
53.001,2001,2002,158,197,210,314,503
54.001,2002,2001,150,209,228,333,528
55.0,2002,2002,145,201,222,376,1211
56.0,2002,2002,155,198,213,307,386
57.0,2000,2000,161,200,216,333,542
58.0,2002,2000,155,202,221,338,441
59.001,2000,2002,158,202,220,324,557
60.0,2002,2002,155,195,209,298,329
61.001,2000,2000,150,206,223,353,655
62.0,2002,2002,164,208,228,337,537
63.0,2002,2002,156,201,221,338,517
64.001,2000,2001,161,203,224,348,520
65.0,2002,2001,149,197,210,316,470
66.0,2002,2002,154,196,208,308,512
67.0,2000,2000,161,201,217,329,457
68.001,2000,2001,153,202,221,320,488
69.001,2000,2000,165,207,224,323,493
70.0,2002,2001,162,199,215,314,444
71.0,2002,2002,154,207,235,335,450
72.001,2000,2001,151,202,222,325,503
73.0,2002,2002,146,195,213,333,501
74.001,2000,2000,157,204,223,341,550
75.0,2002,2001,157,201,221,317,425
76.001,2000,2001,165,203,223,344,553
77.001,2000,1999,161,199,218,391,1899
78.0,2002,2003,150,201,220,317,501
79.0,2002,2002,161,204,222,349,528
80.0,2002,2002,150,200,216,312,436
81.0,2000,2000,144,194,208,287,347
82.0,2002,2002,149,196,210,310,551
83.001,2000,2000,156,197,212,299,342
84.0,2002,2002,149,198,217,312,437
85.0,2000,2000,155,200,217,321,468
86.0,2000,2000,155,197,220,337,499
87.0,2002,2002,153,200,218,325,508
88.0,2000,2000,150,199,217,330,488
89.0,2000,2000,147,199,217,323,501
90.0,2002,2002,149,210,233,363,568
91.0,2000,2000,147,201,224,332,443
92.0,2000,2000,149,197,222,722,4167
93.0,2002,2002,143,192,209,289,433
94.001,2001,2000,131,198,215,319,457
95.0,2001,2002,146,191,206,352,1015
96.001,2000,2000,143,200,218,318,445
97.001,2002,2002,155,202,224,410,745
98.0,2002,2002,144,202,222,411,1265
99.0,2002,2002,137,197,213,342,553
100.0,2000,2000,145,192,209,342,2060
101.0,2000,2000,137,195,216,325,522
102.0,2002,2002,145,199,217,334,1018
103.0,2000,2000,147,202,217,307,415
104.0,2002,2002,138,192,209,288,351
105.0,2002,2002,149,199,218,348,1612
106.001,2000,2001,135,189,203,301,419
107.0,2002,2001,136,194,213,326,593
108.001,2000,2000,149,196,211,301,433
109.001,2001,2000,149,197,213,312,422
110.0,2002,2002,153,198,215,318,559
111.001,2000,2000,129,200,219,328,515
112.0,2002,2002,140,197,216,338,668
113.0,2001,2002,140,196,211,326,598
114.0,2001,2000,142,187,201,289,484
115.0,2002,2002,143,194,213,331,570
116.001,2000,2001,145,195,208,300,413
117.0,2002,2001,147,192,207,311,538
118.0,2000,2000,134,192,206,313,392
119.001,2000,2001,146,194,213,354,1479
120.0,2002,2001,149,191,206,312,545
121.0,2002,2002,141,199,214,339,1361
122.0,2002,2002,151,195,216,316,476
123.0,2000,2000,149,203,222,339,447
124.0,2002,2002,142,202,220,341,765
125.0,2002,2002,153,192,207,311,428
126.0,2002,2002,141,193,213,318,564
127.0,2000,2000,130,195,215,314,421
128.0,2000,2001,150,196,217,320,391
129.001,2000,1999,150,199,225,402,1727
130.0,2002,2002,153,196,215,318,404
131.0,2000,2000,140,195,211,308,409
132.0,2002,2002,151,196,224,322,511
133.0,2000,2000,146,198,223,335,504
134.0,2000,2000,153,196,216,315,378
135.0,2002,2002,145,199,220,322,592
136.0,2002,2002,127,194,223,374,558
137.002,2000,2000,138,197,220,320,414
138.001,2002,2002,151,196,219,326,1991
139.0,2002,2001,152,196,213,318,404
140.0,2002,2003,147,196,216,311,385
141.0,2000,2000,132,192,219,322,1225
142.0,2000,2000,149,201,223,328,420
143.001,2000,2000,148,199,228,328,429
