time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.001,4008,926,3129,83006,88908,90010,92781
2.001,4004,7088,134,9586,115136,149722,150069
3.001,4004,4001,143,235,432,1798,14165
4.0,4004,4002,137,245,365,980,3546
5.001,4000,4001,138,233,325,831,1227
6.001,4001,4004,130,290,669,2742,14091
7.001,4004,4005,136,260,408,2459,6382
8.001,4000,4000,131,251,360,3193,6696
9.001,4004,4004,128,214,283,411,2047
10.001,4004,4003,126,254,435,15237,28743
11.001,4000,4001,129,253,372,9875,18992
12.001,4000,4001,135,221,313,7334,14159
13.001,4001,4000,132,209,261,433,701
14.001,4004,4004,132,231,359,8609,14774
15.001,3999,4000,142,229,292,791,3055
16.0,4005,4003,136,219,266,1002,5444
17.001,4000,4001,136,220,269,830,3699
18.001,3999,4000,129,220,267,501,1298
19.0,4005,4004,133,243,333,795,1185
20.0,4000,3998,143,230,279,958,2064
21.0,4004,4006,142,241,320,800,1768
22.001,4000,4000,138,242,313,1016,5171
23.0,4004,4004,126,257,366,1091,3684
24.0,4000,4000,141,269,415,1281,2003
25.001,4000,3954,134,248,341,1750,6826
26.001,4001,4047,142,229,310,1452,11865
27.001,4000,4000,137,219,294,477,806
28.001,4003,4004,138,230,331,20033,33756
29.0,4004,4004,122,252,394,4646,10026
30.0,4001,4000,127,197,237,364,709
31.001,4000,4000,130,225,352,8257,19159
32.0,4003,4004,132,213,260,461,1013
33.001,4001,3999,133,218,282,563,1424
34.001,4004,4004,122,283,708,1093,2079
35.0,4004,4005,126,208,270,661,1379
36.001,4000,4001,121,215,280,781,1275
37.001,4001,4000,128,206,252,479,745
38.0,4003,4004,137,276,447,883,2470
39.001,4001,4000,132,239,314,994,1931
40.0,4004,4003,128,255,333,1324,5107
41.001,4000,3999,130,229,305,2655,10082
42.001,3999,4002,129,261,402,3747,6447
43.001,4005,4005,123,207,269,359,585
44.001,4000,3998,117,195,269,345,543
45.001,4001,4002,120,198,245,380,535
46.0,4003,4004,123,194,238,420,607
47.001,4001,4000,109,197,239,419,3431
48.001,4004,4004,124,202,256,636,1314
49.001,4000,4000,134,218,268,524,3001
50.001,4004,4004,132,228,278,532,990
51.001,4000,4000,129,215,276,853,2972
52.001,4004,4002,135,245,386,1218,8053
53.001,4004,4006,121,231,343,1290,17478
54.001,4000,4000,119,262,493,10244,16478
55.001,4000,4000,130,256,417,1139,2599
56.0,4004,4004,134,292,446,1397,11603
57.0,4000,4000,130,232,295,508,1061
58.001,4002,4002,121,212,273,435,914
59.001,4002,4002,116,208,276,372,611
60.001,4001,4001,130,258,364,2778,9540
61.001,4004,4004,131,242,346,1419,3567
