time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.001,1002,1002,247,77380,80613,82150,82232
2.0,1001,1001,175,285,356,474,2138
3.001,1000,999,169,247,317,444,1414
4.0,1001,1001,179,232,316,385,1601
5.0,1000,1001,149,234,313,374,506
6.001,1000,1000,165,222,313,361,680
7.0,1001,1001,162,221,303,362,609
8.001,1000,1000,147,217,293,444,5627
9.0,1001,1001,167,229,303,359,732
10.0,1000,1001,155,215,298,370,9153
11.0,1001,1000,159,282,310,362,5359
12.0,1000,1000,164,220,311,522,5266
13.004,990,990,159,211,296,354,1195
14.0,1011,1010,158,222,302,373,2456
15.0,1000,1001,162,223,301,411,4008
16.001,1000,999,159,232,273,330,4191
17.0,1001,1002,157,230,283,329,379
18.001,1001,1000,166,234,290,365,854
19.0,1000,1001,163,230,280,346,633
20.0,1001,1001,159,223,268,361,603
21.0,1001,1001,158,225,275,598,1198
22.0,1001,1001,157,208,251,347,834
23.005,993,992,149,210,256,530,1851
24.0,1008,1009,152,215,250,381,956
25.0,1001,1001,156,215,237,353,1116
26.0,1000,1000,165,211,235,337,474
27.001,1000,997,156,210,232,351,1175
28.0,1001,1004,161,210,231,342,589
29.0,1000,1000,159,212,233,355,795
30.001,1000,1000,153,203,228,371,1380
31.0,1001,1001,162,218,244,389,1070
32.0,1001,1001,155,204,229,364,667
33.0,1000,1000,168,216,241,367,557
34.0,1001,1001,159,207,231,351,800
35.0,1000,1000,153,205,224,300,434
36.0,1000,1000,166,206,229,359,5462
37.0,1001,1001,159,207,225,354,965
38.0,1000,1000,161,203,225,807,1599
39.0,1001,1001,168,219,240,388,798
40.0,1000,1000,157,209,230,374,1158
41.0,1001,1001,162,208,232,367,1056
42.0,1000,1000,161,209,230,347,2486
43.0,1001,1001,166,211,235,392,720
44.0,1000,1000,160,214,239,388,1079
45.001,1001,1000,155,197,218,337,665
46.001,998,1000,169,224,248,390,537
47.001,1002,1002,161,210,236,386,1325
48.0,1001,1001,159,219,241,455,924
49.001,1000,1000,163,222,256,426,863
50.0,1001,1001,158,225,248,483,1483
51.0,1000,1000,151,201,219,352,526
52.0,1001,1001,154,208,226,321,458
53.0,1000,1000,172,211,231,339,461
54.0,1000,1000,162,218,238,411,1273
55.0,1001,1001,166,218,242,351,508
