time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.0,5001,1667,3208,122073,132589,136226,138878
2.001,5008,8324,128,8700,134857,141449,142216
3.0,5004,5019,126,362,1886,6917,13039
4.0,5001,5003,106,284,806,3604,6241
5.0,5004,4962,127,308,917,5818,18251
6.0,5005,5047,110,316,1191,5715,11188
7.0,5006,4975,129,474,2367,9841,21892
8.0,5005,5034,134,439,2268,5542,7412
9.0,5000,4986,121,349,1428,9531,21442
10.0,5005,5014,125,324,929,3471,6663
11.0,5000,5005,134,432,1642,6398,11320
12.0,5005,5005,123,326,1356,8735,13766
13.0,5005,4934,130,315,1251,7790,24626
14.0,5000,5070,118,307,1146,8588,12013
15.0,5005,4982,134,623,3361,12130,17423
16.0,5000,5022,132,344,1581,7812,12922
17.0,5006,5005,131,361,1227,6604,10160
18.0,5000,5000,123,293,786,3663,5643
19.0,5005,5004,137,402,2468,8468,15427
20.0,5000,5002,109,312,1612,5000,7001
21.0,5005,5005,135,338,2290,13028,26179
22.0,5000,5000,133,362,2043,6211,8035
23.0,5000,5000,135,314,1213,5444,8756
24.0,5005,5005,133,291,956,5494,11583
25.0,5001,5000,129,506,1250,3909,7552
26.0,5005,5005,131,365,2351,12577,18220
27.0,5005,5002,125,628,1276,18661,39250
28.0,5004,5007,126,461,3746,18175,29381
29.0,5001,4994,118,280,682,3914,8200
30.0,5005,5000,136,370,2516,12159,20514
31.0,5005,5018,133,297,1202,4377,10818
32.0,5000,4998,127,276,864,6524,8806
33.0,5000,5002,124,333,1076,16654,24431
34.0,4998,4998,122,727,1502,4892,8458
35.001,5003,5001,133,535,3987,17746,26545
36.0,5004,4990,134,335,1315,7608,16572
37.0,5001,5016,118,332,1997,6995,10834
38.0,5004,4956,130,2049,8147,30145,46941
39.0,5001,5047,130,369,3293,16874,22890
40.0,5000,4983,133,437,1374,5509,9316
41.0,5005,4919,125,342,1515,15281,24003
42.0,5000,5102,132,387,1692,8278,20002
43.0,5005,5005,117,299,1100,4975,8243
44.0,5004,5006,129,597,1223,5479,15047
45.0,5005,4997,132,373,1367,6608,14805
46.0,5001,5002,126,289,797,5591,8955
47.0,5005,5009,117,272,534,4797,6849
48.0,5006,5006,130,279,603,4226,7878
49.0,5004,5005,125,339,1867,9801,13421
50.0,5001,4998,130,319,956,5005,9553
51.0,5005,5004,117,318,2391,8034,11197
52.0,5000,5004,133,362,1809,6631,8442
53.0,5000,4934,132,291,936,7148,10257
54.001,5001,5045,124,291,651,3838,13984
55.0,5004,5025,135,284,1009,5415,11403
56.0,5000,5001,132,288,858,6191,9524
57.0,5005,4997,134,248,397,3423,6222
58.0,5000,5007,132,390,1232,7967,13751
59.0,5000,5000,127,301,1157,12536,19182
60.0,5005,4965,126,278,612,4729,7157
61.0,5001,5040,124,352,1157,8096,20939
62.0,5005,5005,128,315,995,7312,18400
63.0,5005,5005,131,303,1426,6235,17058
64.0,5000,5000,121,290,1827,8702,15126
65.0,5005,4975,145,640,2382,28290,52793
66.0,5000,5029,116,349,797,7244,19844
67.0,5005,5004,119,669,1376,11087,20959
68.0,5005,4987,128,718,1666,12236,29402
69.0,5000,4985,137,561,1276,8396,17572
70.0,5005,5036,131,287,778,7638,16367
71.0,5000,5002,131,334,1081,16791,27417
72.0,5005,4997,117,307,941,4722,8948
73.0,5001,5008,132,268,683,4787,10050
74.0,5004,5003,123,341,1179,5595,11002
75.0,5001,4986,133,503,1189,12485,23235
76.0,5005,5020,122,244,607,3045,5235
77.0,5005,4987,118,301,845,4008,8010
78.0,5000,5000,115,265,1017,7454,13763
79.0,5005,5023,129,425,3395,16647,24523
80.0,5005,5004,130,292,1023,5418,12243
81.0,5000,5001,124,352,2251,9421,25104
82.0,5001,5001,137,291,1774,30644,41862
83.0,5005,5004,127,291,1122,7167,13646
84.0,5000,5001,131,279,1026,6168,10577
85.0,5005,5003,128,383,1254,5219,9518
86.0,5005,5000,126,295,1639,5403,7345
87.0,5000,4983,124,1014,4677,10788,15311
88.0,5005,5026,130,349,1475,4553,6458
89.0,5005,5008,119,306,1052,9678,19384
90.0,5005,5001,119,443,1994,6897,12824
91.0,5000,5004,123,317,1030,4905,7614
92.0,5005,4927,126,841,4439,32652,60247
93.0,5000,5077,135,875,2511,33750,46787
94.0,5000,4996,132,344,2203,5819,8639
95.0,5005,4995,119,254,579,3408,5133
96.0,5001,4999,121,288,799,4794,8849
97.0,5000,4993,118,265,530,3471,6142
98.0,5000,5022,126,267,800,6128,11978
99.0,5004,5004,124,261,1031,6069,9830
100.0,5006,5002,121,363,1116,3795,6492
101.0,5000,4999,144,441,1146,4362,9037
102.0,5000,4993,134,326,1727,7864,12194
103.0,5005,5017,126,286,829,3440,7632
104.0,5000,5000,132,512,1814,6965,15049
105.0,5000,5000,114,359,1647,12780,26585
106.0,5000,4922,127,285,846,3189,5665
107.0,5006,5083,108,254,669,2832,15979
108.0,5000,4940,125,413,1488,8299,11615
109.0,5000,5057,153,984,1262,7953,14287
110.0,5005,5009,132,706,2190,14969,21788
111.0,5000,5000,144,705,2410,16205,40136
112.0,5000,4978,135,1110,3001,10215,19922
113.0,5000,4999,175,1112,1651,7942,20688
114.001,5002,5023,127,833,1798,10656,15491
115.0,5003,5005,124,266,840,3380,5017
116.0,5005,4990,122,307,1005,4211,5915
117.0,5000,5014,134,285,543,3482,5439
118.0,5000,4999,114,241,429,1767,4564
119.0,5005,4796,127,320,1810,8018,22832
120.0,5005,5207,129,317,1159,9960,34986
121.0,5001,5007,130,325,1572,9372,14983
122.0,5000,4995,130,406,1603,7212,14967
123.0,5004,4997,133,354,2199,7571,13647
124.0,5001,5013,123,295,1204,5424,7912
125.0,5004,5005,123,262,797,5818,11211
126.0,5001,4999,125,247,529,3385,7257
127.0,5005,5007,125,264,970,5495,8654
128.0,5000,4994,124,249,622,5770,7595
129.0,5005,5003,117,272,1207,6041,8380
130.0,5001,5008,121,219,329,1452,3012
131.0,5005,5003,124,258,563,6397,13828
132.0,5000,5002,127,264,644,3199,4823
133.0,5004,5005,132,313,1031,4642,7014
134.001,5002,5001,127,258,454,3377,7331
135.0,5003,5004,126,383,2183,8411,12319
136.0,5001,4989,133,297,638,6194,12758
137.0,5000,5001,140,316,1124,5270,11484
138.0,5000,5010,124,290,1343,3801,8703
139.0,5005,4991,124,346,1205,8491,18464
140.0,5005,5018,126,300,2555,11169,16659
141.0,5005,5004,125,293,768,3292,4733
142.0,5001,4990,131,327,853,3577,6273
143.0,5004,5016,128,501,1345,6296,10871
144.0,5001,5000,127,530,3384,23375,35217
145.0,5000,4995,122,367,2713,14977,25278
146.001,5001,5005,130,309,1342,4211,6425
