time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.0,2003,2003,162,5954,51097,54951,55602
2.001,2002,2001,151,224,338,2204,4479
3.0,2001,2001,162,218,286,21053,35680
4.0,2000,2000,158,212,298,410,3625
5.0,2002,2002,147,208,316,444,2286
6.0,2000,2000,152,204,311,392,472
7.0,2002,2000,150,210,316,399,523
8.0,2000,2002,156,203,313,379,666
9.0,2000,2000,144,202,311,447,9233
10.0,2000,2001,143,203,320,437,1179
11.0,2002,2001,140,204,312,405,621
12.0,2000,2000,146,193,302,386,515
13.0,2000,2000,147,209,313,455,1248
14.0,2002,2002,147,207,331,433,1603
15.0,2000,2001,145,209,319,404,3335
16.001,2002,2001,149,201,320,407,1226
17.0,2002,2002,146,199,301,488,1775
18.0,2002,2003,134,192,208,367,411
19.0,2000,2000,147,199,250,405,1978
20.0,2000,1999,143,198,222,380,561
21.001,2000,2001,142,199,225,395,1518
22.0,2002,2001,140,195,224,608,1656
23.0,2002,2002,134,192,211,372,744
24.0,2002,2003,144,193,211,363,687
25.001,2000,1999,143,203,237,760,2151
26.003,1995,1990,146,197,214,431,908
27.0,2009,2012,146,196,212,330,609
28.0,2000,2003,140,194,219,384,657
29.0,2000,2000,134,193,211,356,745
30.0,2002,2002,147,198,217,332,612
31.0,2002,2002,143,192,208,361,524
32.0,2002,2002,147,201,225,446,731
33.0,2001,2000,139,196,220,424,1005
34.0,2001,2002,145,198,226,528,1538
35.0,2001,2000,141,194,211,301,542
36.0,2001,2002,139,192,212,348,603
37.0,2003,2002,137,193,213,272,412
38.0,1999,2000,146,192,219,356,811
39.0,2002,2002,140,193,219,379,1363
40.0,2001,2000,135,201,235,1291,4409
41.0,1999,2000,150,202,227,302,1128
42.001,2001,2000,134,201,230,527,911
43.0,2002,2002,146,194,220,419,720
44.0,2002,2002,154,201,229,384,626
45.0,2000,2000,152,196,229,456,896
46.0,2002,2002,147,194,220,403,1820
47.0,2002,2002,138,198,225,359,601
48.0,2000,2000,148,202,227,384,833
49.0,2000,2000,142,208,244,367,895
50.0,2002,2002,151,203,236,406,829
51.001,2000,2000,151,224,276,599,1567
52.0,2002,2002,148,207,244,348,846
53.0,2002,2002,146,195,229,324,852
54.0,2002,2002,156,213,264,365,651
55.0,2000,2001,151,208,267,395,560
56.0,2000,2000,156,226,290,397,1102
57.0,2002,2002,155,219,305,438,1413
58.0,2000,1999,146,229,304,410,930
59.0,2002,2002,145,219,306,729,1728
60.0,2000,2000,145,223,313,477,1629
61.0,2000,2000,131,196,293,383,905
62.0,2000,2000,138,206,311,399,587
63.0,2002,2003,151,230,341,753,1858
64.0,2000,1999,150,229,339,455,721
65.001,2001,2001,143,207,311,457,1199
66.0,2001,2002,133,200,309,390,609
67.0,2002,2002,146,196,303,400,2288
68.0,2002,2001,132,192,292,434,1892
69.001,2001,2001,133,186,285,364,500
70.0,2001,2002,138,193,302,400,545
71.001,2001,2001,141,200,326,3138,4355
72.0,2001,2001,140,189,306,382,441
73.0,2002,2001,145,202,301,419,2666
74.0,2000,2001,143,196,307,588,2022
75.0,2002,2001,136,193,222,391,653
76.0,2000,2001,136,182,207,374,612
77.0,2002,2002,144,192,219,367,581
78.0,2000,2000,143,193,221,393,893
79.001,2001,2001,143,195,214,361,515
80.0,2001,2001,132,198,221,549,2584
81.0,2002,2002,148,201,224,502,1004
82.0,2000,2000,148,203,223,718,2831
83.0,2002,2002,149,206,225,859,2413
84.0,2001,2000,146,200,221,483,865
85.0,2002,2002,134,197,216,570,915
86.0,2000,2000,142,201,219,348,597
87.0,2002,2002,138,196,211,371,2735
88.0,2002,2002,143,193,216,366,695
89.001,2000,2000,138,188,210,375,1339
90.0,2002,2002,144,183,199,318,687
91.0,2000,2000,141,179,193,275,503
92.0,2000,2000,139,189,206,312,515
93.0,2000,2000,147,190,215,381,1905
94.0,2000,2000,151,199,220,378,688
95.001,1999,2000,127,185,207,355,625
96.0,2003,2002,135,192,217,408,773
97.001,2000,2001,142,196,222,426,1205
98.0,2002,2002,141,191,217,407,874
99.0,2002,2001,153,197,232,1344,1566
100.0,2000,2001,147,199,227,773,2305
101.0,2002,2002,146,193,221,683,979
102.0,2002,2002,138,195,227,770,1765
103.0,2002,2001,142,193,220,416,742
104.001,2000,2001,145,201,226,471,1629
105.0,2002,2002,141,194,222,776,2419
106.002,1993,1989,133,194,215,366,695
107.0,2009,2013,134,192,212,508,3280
108.0,2002,2002,154,199,222,480,1013
109.0,2000,1999,151,207,226,324,648
110.0,2002,2003,149,197,216,408,741
111.0,2002,2002,142,197,219,932,1991
112.0,2000,2000,139,198,227,915,3247
113.0,2000,2000,141,199,224,360,616
114.0,2002,2002,148,205,242,383,596
115.0,2000,2000,149,208,258,441,862
116.0,2002,2001,144,204,267,365,1265
117.0,2000,2001,152,208,284,427,572
118.0,2002,2002,142,199,272,435,796
119.0,2002,2002,152,209,295,381,553
120.0,2002,2002,144,210,300,489,2828
121.0,2000,2000,141,198,297,375,555
122.0,2000,2000,147,203,302,773,2369
123.0,2002,2002,146,204,317,1376,3214
124.0,2000,2000,142,194,296,371,994
125.0,2002,2002,143,191,292,359,394
126.0,2002,2002,144,199,300,424,1193
127.0,2001,2000,137,200,303,430,1121
128.0,2001,2000,142,197,300,431,770
129.0,2001,2002,139,219,350,2202,3771
130.002,2000,1996,135,193,307,449,3239
131.0,2001,2006,136,201,316,415,1637
132.0,2002,2002,142,191,300,391,582
133.0,2002,2002,151,200,314,389,452
134.0,2000,2000,143,206,321,406,506
135.002,2000,1998,147,197,313,430,1403
136.0,2001,2004,144,201,317,593,1153
137.0,2002,2002,145,199,304,414,991
138.0,2000,2000,138,192,293,402,1219
139.0,2002,2002,137,190,211,385,1059
140.0,2002,2002,140,187,201,349,415
141.0,2000,2000,138,185,198,362,614
142.0,2000,2000,133,184,198,326,493
143.0,2000,2001,134,190,208,374,1239
144.0,2000,2000,135,187,204,373,703
145.001,2000,2000,143,193,216,929,3742
146.0,2002,2001,140,188,203,316,397
147.0,2002,2002,140,196,214,492,2149
148.003,2000,1987,138,187,202,367,872
149.0,2002,2016,143,186,202,356,628
150.0,2002,2001,140,190,207,337,591
151.0,2000,2001,137,182,198,345,569
152.0,2002,2002,130,180,203,501,1021
153.0,2000,2000,136,187,209,343,544
154.0,2000,2000,136,187,207,338,587
155.0,2000,2000,136,196,214,425,1460
156.001,2000,2000,140,195,219,497,1292
157.0,2002,2002,141,193,214,328,626
158.0,2002,2002,129,194,216,372,564
159.0,2000,2000,139,198,223,793,1488
160.0,2002,2002,133,190,216,359,1325
161.0,2002,2002,141,200,224,356,2042
162.0,2000,2000,139,190,220,328,626
163.0,2002,2002,136,186,210,370,697
164.0,2002,2002,131,186,220,478,1172
165.0,2000,2000,139,191,224,504,709
166.001,2001,2001,129,186,210,369,673
167.0,2001,2001,140,187,214,680,3118
168.0,2002,2002,142,197,221,504,1391
169.001,2001,2000,136,194,222,611,1324
170.0,2001,2002,133,188,216,500,651
171.001,2001,1992,128,181,209,620,966
172.0,2001,2010,136,192,228,765,1156
173.0,2002,2002,149,190,218,639,860
174.0,2000,2000,141,192,225,705,1489
175.0,2001,2000,135,185,210,683,1126
176.0,2002,2002,122,183,213,863,4316
177.0,2002,2002,140,196,228,500,1076
178.0,2001,2002,149,201,260,2052,5121
179.0,2001,2000,153,206,246,360,658
180.0,2002,2002,155,208,251,367,621
181.0,2000,2000,148,200,243,334,575
182.0,2000,2000,147,197,240,341,661
183.0,2002,2002,150,209,261,389,691
184.0,2000,2000,145,216,282,461,797
185.0,2002,2002,140,218,294,376,539
186.0,2000,2000,153,215,288,371,429
187.0,2000,2000,141,207,278,382,848
188.0,2000,2000,145,208,295,380,1080
189.0,2002,2002,145,199,277,360,427
190.001,2000,2001,145,220,317,436,2543
191.001,2000,2000,147,204,309,390,472
192.0,2002,2002,147,196,299,376,437
193.0,2002,2001,145,200,314,383,463
194.0,2000,2000,142,200,297,386,442
195.0,2002,2002,145,206,318,983,3731
196.001,2000,2001,152,202,301,374,406
197.0,2002,2002,147,197,297,387,566
198.0,2002,2001,131,200,307,518,949
199.0,2000,2001,145,193,297,390,883
200.0,2002,2001,138,199,302,907,2698
201.0,2002,2002,144,201,308,412,1005
202.0,2000,2001,135,197,303,407,1676
203.0,2002,2002,137,196,301,399,912
204.0,2000,2000,139,197,301,380,483
205.0,2002,2002,144,192,296,379,1064
206.0,2000,2000,142,193,294,376,637
207.0,2002,2002,144,196,295,388,1373
208.0,2002,2002,143,190,283,375,479
209.0,2000,2000,141,200,297,400,447
210.0,2002,2002,147,191,257,381,811
211.0,2000,2000,138,196,247,398,574
212.0,2002,2002,143,194,225,375,547
213.0,2000,2000,134,194,217,375,512
214.0,2002,2002,149,195,227,389,858
215.0,2000,2000,140,195,229,406,1128
216.0,2000,2000,143,188,203,352,600
217.0,2002,2002,138,192,212,400,1334
218.001,2001,1999,141,190,208,377,981
219.0,2001,2003,137,191,211,416,591
220.001,2001,2000,136,186,203,395,648
221.006,2000,1988,130,192,222,822,1492
222.0,2001,2014,141,184,201,448,894
223.0,2002,2002,145,194,217,494,961
224.0,2000,2000,145,194,219,1065,2288
225.0,2002,2002,137,187,207,639,1909
226.0,2000,2000,139,190,208,402,1662
227.0,2002,2002,133,192,218,549,894
228.0,2001,2000,142,187,205,340,670
229.0,2000,2000,146,190,209,446,2383
230.0,2000,2000,145,190,215,439,923
231.0,2002,2002,141,194,219,443,1653
232.0,2002,2002,134,192,221,520,924
233.001,2001,2002,143,192,216,325,592
234.0,2001,2000,142,199,224,269,381
235.0,2002,2002,150,197,227,365,950
236.0,2002,2002,145,205,240,539,4143
237.0,2000,2000,150,196,225,512,2899
238.0,2002,2002,144,190,221,364,1062
239.0,2002,2002,150,201,228,322,768
240.0,2002,2002,142,188,220,527,1624
241.0,2000,2001,126,187,215,648,2410
242.001,2002,1998,141,184,206,337,645
243.0,2000,2003,132,193,227,622,1169
244.0,2000,2000,139,194,250,1106,4675
245.0,2000,2001,140,194,241,370,647
246.001,2000,2000,150,200,251,384,892
247.0,2002,2002,145,194,254,394,1152
248.0,2002,2002,147,193,253,383,1649
249.0,2002,2002,132,188,242,333,899
250.0,2000,2000,141,197,267,372,571
251.0,2002,2002,142,197,278,365,577
252.0,2002,2002,125,202,284,364,654
253.0,2000,2000,135,195,272,345,403
254.0,2000,2000,130,195,278,349,828
255.0,2000,2000,134,198,287,370,437
256.0,2002,2002,149,205,315,386,500
257.0,2000,2000,140,203,304,402,3266
258.0,2002,2002,143,210,316,701,3408
259.0,2000,2000,141,211,293,372,1313
260.0,2002,2002,137,205,293,374,681
261.0,2000,2000,138,190,283,374,662
