time,sent,received,latency_min,latency_median,latency_75th,latency_95th,latency_99th
1.005,1344,578,2801,34294,59432,62170,62751
2.0,10717,11481,161,31128,90824,124580,138132
3.0,6036,6022,126,675,3801,12801,19249
4.001,6028,5941,130,485,1645,9421,18398
5.0,6024,6081,123,363,1360,8086,18330
6.0,6024,6075,130,581,1520,11478,20958
7.0,6024,5840,144,576,1539,12242,21570
8.0,6029,6213,143,653,1868,16661,27735
9.0,6028,6028,115,356,926,7343,24266
10.0,6024,6023,130,379,920,3599,8081
11.0,6024,6024,140,350,725,3334,10434
12.0,6029,6030,128,450,883,2972,10040
13.0,6023,6023,131,395,1583,15138,22132
14.0,6024,6020,133,356,812,8417,14778
15.0,6029,6034,144,406,854,3440,17048
16.0,6029,6011,134,478,1470,17678,31616
17.0,6025,6041,136,370,805,2698,7010
18.0,6028,6030,124,322,701,5677,10628
19.0,6025,6024,121,319,680,6023,14140
20.0,6028,6023,131,407,943,4757,7880
21.0,6024,6029,134,584,948,5754,8625
22.0,6024,6023,130,538,1008,3487,6257
23.0,6028,5966,138,563,1380,8665,15757
24.0,6030,6092,135,423,890,3537,8708
25.0,6023,5946,139,418,894,6511,20745
26.0,6028,6104,136,404,1004,4337,12782
27.0,6023,6025,141,403,874,4507,16731
28.0,6030,6025,127,363,825,6237,14379
29.0,6023,6028,131,629,5375,64437,85285
30.0,6030,6026,130,320,775,5875,14782
31.0,6023,6025,138,488,978,9380,15798
32.0,6020,6021,145,565,1995,18455,28551
33.0,6033,6022,134,355,726,1915,4235
34.0,6023,6036,126,456,1107,22974,44281
35.001,6026,6026,130,410,896,3108,6460
36.0,6032,6030,142,510,975,2710,10742
37.0,6029,6024,129,477,1018,8814,19690
38.001,6025,6031,132,353,740,2165,4768
39.0,6028,6028,137,373,784,3055,7308
40.0,6029,6025,129,401,968,7568,33547
41.0,6029,6032,136,436,1032,4076,25948
42.0,6029,6022,147,490,1099,8625,22331
43.0,6030,6038,136,457,959,12769,37621
44.0,6024,6021,144,423,996,10323,17550
45.0,6029,6028,129,772,1321,17785,31109
46.0,6023,6024,138,647,1043,9114,19358
47.0,6030,6026,136,762,1857,13892,32517
48.0,6029,6035,145,670,1707,18045,26081
49.0,6023,6011,131,794,2570,12846,28581
50.0,6028,5998,114,654,1061,3083,5799
51.0,6030,6068,144,687,1362,16906,37803
52.0,6029,6033,123,381,961,6299,19896
53.0,6029,6029,136,529,1284,45451,66574
54.0,6028,6013,134,402,920,5730,20635
55.001,6027,6037,133,373,814,3503,17159
56.0,6026,6031,155,491,1080,4452,7789
57.0,6029,6029,140,530,950,3614,8959
58.0,6030,6014,152,642,1183,7248,13440
59.0,6029,6030,143,633,1514,14587,27487
60.0,6023,6037,147,443,998,7600,20108
61.0,6023,5975,125,399,859,4920,18422
62.0,6024,6059,130,589,3334,19037,31312
63.0,6029,6041,116,431,942,18656,34337
64.0,6030,6022,134,429,781,1442,2495
65.0,6023,5914,134,377,852,11242,26708
66.0,6028,6147,132,466,1579,17339,30046
67.0,6030,6030,133,363,877,14124,22583
68.0,6029,6027,128,346,752,1701,3447
69.0,6023,6021,130,374,791,4964,11494
70.0,6023,6026,125,471,1472,36875,54484
71.0,6024,6018,126,425,1433,11083,15538
72.0,6028,6035,121,358,721,1849,4197
73.0,6030,6028,136,359,713,3817,8855
74.0,6023,6025,115,390,856,6409,25021
75.0,6027,6028,118,339,665,3232,5886
76.0,6026,5980,135,462,943,4839,7970
77.0,6029,6072,129,420,963,4863,10267
78.0,6024,6023,135,472,930,3573,13349
79.0,6029,5990,134,462,1015,9065,15232
80.0,6028,6047,127,607,1365,9898,12802
81.001,6026,6047,133,432,1301,22623,47917
82.0,6026,6026,122,380,1338,11118,18642
83.0,6024,6022,125,350,746,4753,10295
84.0,6029,6027,133,378,771,1969,6522
85.0,6029,6029,135,421,948,4194,12986
86.0,6029,6032,140,391,900,5270,10677
87.0,6024,5967,119,341,817,7157,13596
88.0,6028,6067,140,637,3462,17811,32444
89.0,6024,6017,121,596,2420,11646,16804
90.0,6024,6051,128,371,1275,10588,15207
91.0,6023,6019,128,402,1556,9723,16329
92.0,6029,6032,136,365,1083,9943,19559
93.0,6024,6017,134,496,1221,15697,21582
94.0,6028,6037,137,487,2364,26402,36616
95.0,6024,6023,136,352,885,6147,16936
96.0,6024,5997,127,473,2633,13819,23936
97.0,6029,6055,117,415,1447,13130,19068
98.0,6028,6028,138,471,1617,12655,24064
99.0,6023,6024,140,640,2610,16558,23930
100.0,6024,6023,121,382,884,9566,23620
101.0,6029,5949,131,494,1841,10998,16948
102.0,6023,6080,132,398,1082,7237,18805
103.0,6029,6052,137,353,1001,15266,27373
104.0,6024,6024,124,341,642,3953,9809
105.0,6024,6023,117,363,886,8411,13807
106.0,6024,6026,128,345,929,9808,17433
107.0,6029,6020,128,401,924,28082,52454
108.0,6030,6027,139,378,885,8785,22629
109.0,6029,6039,128,357,840,1967,4952
110.0,6023,6023,114,484,1585,16130,35523
111.0,6029,6030,122,341,1366,9416,22226
112.0,6024,6022,133,331,714,12505,24810
113.0,6029,6026,117,316,687,6002,19780
114.0,6024,6028,133,313,615,14857,33770
115.001,6027,6022,117,336,840,6547,10372
116.0,6023,6031,123,337,846,5287,10206
117.0,6026,5990,117,361,1821,8397,13263
118.0,6023,6055,132,353,727,6169,14272
119.0,6028,6031,134,345,753,4176,19241
120.0,6030,5913,123,355,743,2925,16444
121.0,6024,6119,121,340,709,11124,24197
122.0,6028,6048,127,518,5152,34292,53024
123.0,6025,6025,124,320,531,3891,8368
124.0,6028,6029,130,342,650,4218,10138
125.0,6030,6029,116,310,559,2670,7500
126.0,6024,6024,123,353,684,9825,18210
127.0,6030,5954,130,352,696,6268,13341
128.0,6028,6102,119,531,2832,27610,47806
129.0,6024,6024,122,460,851,5186,23411
130.0,6028,6028,132,349,679,2657,9037
131.0,6025,6023,132,318,715,6245,19628
132.0,6029,6031,122,349,772,5281,8449
133.0,6024,6023,128,408,825,4439,13354
134.001,6025,6019,127,373,877,7729,18989
135.0,6026,6033,126,334,663,3825,11699
136.0,6030,6031,114,361,1360,7263,16667
137.0,6023,6020,118,343,679,3098,8664
138.0,6024,6027,127,321,684,5162,8033
139.0,6029,6029,128,346,740,25101,49819
140.0,6024,6004,121,380,1379,31653,56983
141.0,6023,5812,133,348,898,14033,31229
142.0,6028,6257,121,430,1381,32202,51484
143.0,6024,6025,126,375,1035,15999,24431
144.0,6029,6015,118,407,961,6011,12512
145.0,6029,6020,131,350,755,10240,19115
146.0,6024,6043,124,531,4220,24933,42521
147.0,6023,6026,126,546,1897,29248,42729
148.0,6029,6030,126,375,1868,17089,25809
149.001,6024,6025,113,342,896,5667,12177
150.0,6029,6017,132,347,698,2128,5085
151.0,6028,6041,119,333,715,7371,10975
152.0,6024,5973,115,388,3311,19605,28002
153.0,6029,5961,136,355,701,7940,16609
154.0,6023,6141,130,447,1350,41695,72597
155.0,6030,6025,129,344,747,12913,25833
156.0,6024,6027,140,348,748,8456,15328
157.0,6028,6022,137,376,808,10119,30035
158.0,6029,6035,137,358,761,7695,13276
159.0,6028,6029,124,325,590,1667,4843
160.0,6025,6005,129,338,835,21707,38428
161.0,6024,6042,120,329,753,5007,10704
162.0,6024,5985,128,442,2360,19026,27953
163.0,6029,6066,123,389,1217,12056,34656
164.0,6023,6026,122,341,776,5189,11423
165.0,6029,6031,134,365,763,6614,13163
166.0,6024,6022,131,323,727,3512,7139
167.0,6024,6025,127,370,902,45600,68838
168.0,6028,6028,131,363,869,12491,18848
169.0,6024,6015,126,330,687,5811,13572
170.0,6023,6021,120,365,870,11466,19240
171.0,6029,6018,138,379,830,3314,15597
172.0,6029,6040,127,372,841,13280,23649
173.0,6028,6039,130,359,716,6659,18085
174.0,6024,6022,131,313,733,5356,8985
175.0,6030,6030,129,353,804,3861,18100
176.0,6023,6020,128,378,1164,23918,39854
177.0,6030,6034,122,345,1093,8627,20642
178.0,6024,6020,125,358,765,6182,18612
179.0,6024,6027,133,365,876,9412,31562
180.0,6029,6031,114,293,595,2913,6304
181.0,6030,6025,124,344,1197,14951,29759
182.0,6024,6018,121,325,686,2839,11770
183.0,6024,6035,131,387,1102,13152,22313
184.0,6030,6028,131,383,1047,19009,27896
185.0,6024,6023,131,335,725,4724,12799
186.0,6029,6032,139,540,1911,17180,28103
187.0,6030,6029,133,456,1110,17609,25780
188.0,6024,6022,117,322,637,5019,10026
189.0,6023,6026,128,451,1890,12706,15937
190.0,6023,6024,130,342,748,6506,12067
191.0,6030,6029,127,361,1076,9766,18045
192.0,6024,6024,124,425,1268,13326,21490
193.0,6023,6022,129,334,628,4191,13025
194.0,6030,6029,128,378,789,8966,24018
195.0,6024,5936,123,306,703,9076,22995
196.0,6029,6114,133,431,1585,23329,49702
197.0,6024,5970,122,364,1342,18168,24382
198.0,6029,6086,123,481,4471,23191,42651
199.0,6030,6031,111,418,2286,11821,17473
200.0,6024,6024,137,619,2393,21705,33662
201.0,6029,6029,124,317,686,5287,10080
202.0,6023,6024,134,327,701,5011,10083
203.0,6029,5988,129,340,757,8875,20179
204.0,6025,6055,133,374,1455,33887,57170
205.0,6023,6031,118,410,4144,23065,43495
206.0,6030,5980,128,458,2493,30647,49495
207.0,6023,6075,129,351,3207,31192,39287
208.0,6029,6015,128,344,833,8567,19981
209.0,6025,6019,130,328,793,9427,29343
210.0,6029,6047,124,328,853,5944,10634
211.0,6023,6023,122,364,1362,26404,37706
212.0,6023,6024,118,319,757,16198,36733
213.0,6024,6020,119,328,766,7154,14645
214.0,6029,6032,129,433,2114,17494,22797
215.0,6029,5987,119,324,886,9448,13297
216.0,6029,6071,117,289,565,3543,6325
217.0,6024,6023,128,330,1323,11164,27433
218.0,6029,6028,125,332,750,7775,15789
219.0,6023,6025,123,322,926,14863,22381
220.0,6024,5978,120,369,2367,12265,18295
221.003,6025,6071,131,422,1481,10671,18803
222.0,6027,6026,122,348,679,3641,6969
223.0,6029,6027,128,368,1066,23795,38689
224.0,6025,6027,126,348,883,9390,16212
225.0,6029,6029,119,549,1068,5917,12602
226.0,6029,6030,131,343,733,5872,11663
227.0,6024,6024,125,338,721,11318,20071
228.0,6029,6030,121,556,4243,19476,26560
229.0,6024,6022,126,511,1549,14406,31440
230.0,6024,6024,123,310,688,4950,14956
231.0,6029,6029,124,379,895,7838,15576
232.0,6023,6017,125,484,880,5988,19963
233.0,6029,6029,134,378,786,2224,7037
234.0,6029,6036,120,355,839,6887,13758
235.001,6024,6023,131,379,762,5872,14444
236.0,6028,6028,132,392,1027,6388,12127
237.0,6030,6029,130,361,815,8566,12566
238.0,6024,6025,114,314,893,9243,13208
239.0,6029,6030,129,350,1111,12458,19506
240.0,6024,6023,116,313,629,5568,14954
241.0,6030,6029,121,327,1015,12562,29065
242.0,6023,6024,114,354,1195,8508,20914
243.0,6029,6030,125,456,1060,13194,36912
244.0,6030,6028,122,340,804,3974,8568
245.0,6029,6031,118,341,1357,11807,21305
246.0,6024,5952,130,359,1040,8859,16033
247.0,6024,6094,136,434,1640,32733,60451
248.0,6024,6022,117,297,893,23421,39601
249.0,6022,6026,136,572,1254,6306,10148
250.0,6030,6030,126,495,1354,31096,44858
251.0,6023,6020,122,338,745,6115,14128
252.001,6019,6022,121,315,682,4676,11393
253.0,6033,6033,126,338,869,12825,24619
254.0,6029,6030,129,476,960,8939,30049
255.0,6030,6027,129,320,923,16833,32167
256.0,6022,6015,128,452,2073,18674,25497
257.0,6030,5916,111,367,2831,28943,47494
258.0,6029,6150,134,359,857,14948,27462
259.0,6024,6024,121,323,670,7175,14723
260.0,6029,6029,137,484,1879,26368,39742
261.0,6023,5970,118,293,578,6157,23142
262.0,6024,6064,135,341,696,7436,21488
263.0,6029,6010,128,350,772,6605,12534
264.0,6023,6057,133,407,1952,17990,21277
265.0,6030,6022,129,378,1153,12900,18909
266.0,6023,5919,126,364,755,5483,17231
267.0,6030,6127,121,361,2175,9845,16936
268.0,6024,6037,131,373,826,9989,17873
269.0,6023,6019,119,332,680,10102,23303
270.0,6028,6034,119,318,740,8366,21539
271.0,6030,6021,112,349,917,10807,25930
272.0,6024,6031,128,394,1573,14312,31789
273.0,6022,6024,124,349,1166,15163,23967
274.0,6030,6028,125,359,837,3341,8590
275.0,6029,6018,126,338,706,4143,10387
276.0,6029,6041,137,350,1038,9832,14786
277.0,6023,6005,126,344,789,11254,21914
278.0,6030,6047,118,347,802,8140,15987
279.0,6023,6023,127,376,895,5447,8907
280.0,6024,6022,106,421,1184,11321,33672
