1.000s       2003 msg/s   2003 msg/s 162/5954/51097/54951/55602 µs
2.001s       2002 msg/s   2001 msg/s 151/224/338/2204/4479 µs
3.000s       2001 msg/s   2001 msg/s 162/218/286/21053/35680 µs
4.000s       2000 msg/s   2000 msg/s 158/212/298/410/3625 µs
5.000s       2002 msg/s   2002 msg/s 147/208/316/444/2286 µs
6.000s       2000 msg/s   2000 msg/s 152/204/311/392/472 µs
7.000s       2002 msg/s   2000 msg/s 150/210/316/399/523 µs
8.000s       2000 msg/s   2002 msg/s 156/203/313/379/666 µs
9.000s       2000 msg/s   2000 msg/s 144/202/311/447/9233 µs
10.000s      2000 msg/s   2001 msg/s 143/203/320/437/1179 µs
11.000s      2002 msg/s   2001 msg/s 140/204/312/405/621 µs
12.000s      2000 msg/s   2000 msg/s 146/193/302/386/515 µs
13.000s      2000 msg/s   2000 msg/s 147/209/313/455/1248 µs
14.000s      2002 msg/s   2002 msg/s 147/207/331/433/1603 µs
15.000s      2000 msg/s   2001 msg/s 145/209/319/404/3335 µs
