94.000s      6028 msg/s   6037 msg/s 137/487/2364/26402/36616 µs
95.000s      6024 msg/s   6023 msg/s 136/352/885/6147/16936 µs
96.000s      6024 msg/s   5997 msg/s 127/473/2633/13819/23936 µs
97.000s      6029 msg/s   6055 msg/s 117/415/1447/13130/19068 µs
98.000s      6028 msg/s   6028 msg/s 138/471/1617/12655/24064 µs
99.000s      6023 msg/s   6024 msg/s 140/640/2610/16558/23930 µs
100.000s     6024 msg/s   6023 msg/s 121/382/884/9566/23620 µs
101.000s     6029 msg/s   5949 msg/s 131/494/1841/10998/16948 µs
102.000s     6023 msg/s   6080 msg/s 132/398/1082/7237/18805 µs
103.000s     6029 msg/s   6052 msg/s 137/353/1001/15266/27373 µs
104.000s     6024 msg/s   6024 msg/s 124/341/642/3953/9809 µs
105.000s     6024 msg/s   6023 msg/s 117/363/886/8411/13807 µs
106.000s     6024 msg/s   6026 msg/s 128/345/929/9808/17433 µs
107.000s     6029 msg/s   6020 msg/s 128/401/924/28082/52454 µs
108.000s     6030 msg/s   6027 msg/s 139/378/885/8785/22629 µs
109.000s     6029 msg/s   6039 msg/s 128/357/840/1967/4952 µs
110.000s     6023 msg/s   6023 msg/s 114/484/1585/16130/35523 µs
111.000s     6029 msg/s   6030 msg/s 122/341/1366/9416/22226 µs
112.000s     6024 msg/s   6022 msg/s 133/331/714/12505/24810 µs
113.000s     6029 msg/s   6026 msg/s 117/316/687/6002/19780 µs
114.000s     6024 msg/s   6028 msg/s 133/313/615/14857/33770 µs
115.001s     6027 msg/s   6022 msg/s 117/336/840/6547/10372 µs
116.000s     6023 msg/s   6031 msg/s 123/337/846/5287/10206 µs
117.000s     6026 msg/s   5990 msg/s 117/361/1821/8397/13263 µs
118.000s     6023 msg/s   6055 msg/s 132/353/727/6169/14272 µs
119.000s     6028 msg/s   6031 msg/s 134/345/753/4176/19241 µs
120.000s     6030 msg/s   5913 msg/s 123/355/743/2925/16444 µs
121.000s     6024 msg/s   6119 msg/s 121/340/709/11124/24197 µs
122.000s     6028 msg/s   6048 msg/s 127/518/5152/34292/53024 µs
123.000s     6025 msg/s   6025 msg/s 124/320/531/3891/8368 µs
124.000s     6028 msg/s   6029 msg/s 130/342/650/4218/10138 µs
125.000s     6030 msg/s   6029 msg/s 116/310/559/2670/7500 µs
126.000s     6024 msg/s   6024 msg/s 123/353/684/9825/18210 µs
127.000s     6030 msg/s   5954 msg/s 130/352/696/6268/13341 µs
128.000s     6028 msg/s   6102 msg/s 119/531/2832/27610/47806 µs
129.000s     6024 msg/s   6024 msg/s 122/460/851/5186/23411 µs
130.000s     6028 msg/s   6028 msg/s 132/349/679/2657/9037 µs
131.000s     6025 msg/s   6023 msg/s 132/318/715/6245/19628 µs
132.000s     6029 msg/s   6031 msg/s 122/349/772/5281/8449 µs
133.000s     6024 msg/s   6023 msg/s 128/408/825/4439/13354 µs
134.001s     6025 msg/s   6019 msg/s 127/373/877/7729/18989 µs
135.000s     6026 msg/s   6033 msg/s 126/334/663/3825/11699 µs
136.000s     6030 msg/s   6031 msg/s 114/361/1360/7263/16667 µs
137.000s     6023 msg/s   6020 msg/s 118/343/679/3098/8664 µs
138.000s     6024 msg/s   6027 msg/s 127/321/684/5162/8033 µs
139.000s     6029 msg/s   6029 msg/s 128/346/740/25101/49819 µs
140.000s     6024 msg/s   6004 msg/s 121/380/1379/31653/56983 µs
141.000s     6023 msg/s   5812 msg/s 133/348/898/14033/31229 µs
142.000s     6028 msg/s   6257 msg/s 121/430/1381/32202/51484 µs
143.000s     6024 msg/s   6025 msg/s 126/375/1035/15999/24431 µs
144.000s     6029 msg/s   6015 msg/s 118/407/961/6011/12512 µs
145.000s     6029 msg/s   6020 msg/s 131/350/755/10240/19115 µs
146.000s     6024 msg/s   6043 msg/s 124/531/4220/24933/42521 µs
147.000s     6023 msg/s   6026 msg/s 126/546/1897/29248/42729 µs
148.000s     6029 msg/s   6030 msg/s 126/375/1868/17089/25809 µs
149.001s     6024 msg/s   6025 msg/s 113/342/896/5667/12177 µs
150.000s     6029 msg/s   6017 msg/s 132/347/698/2128/5085 µs
151.000s     6028 msg/s   6041 msg/s 119/333/715/7371/10975 µs
152.000s     6024 msg/s   5973 msg/s 115/388/3311/19605/28002 µs
153.000s     6029 msg/s   5961 msg/s 136/355/701/7940/16609 µs
154.000s     6023 msg/s   6141 msg/s 130/447/1350/41695/72597 µs
155.000s     6030 msg/s   6025 msg/s 129/344/747/12913/25833 µs
156.000s     6024 msg/s   6027 msg/s 140/348/748/8456/15328 µs
157.000s     6028 msg/s   6022 msg/s 137/376/808/10119/30035 µs
158.000s     6029 msg/s   6035 msg/s 137/358/761/7695/13276 µs
159.000s     6028 msg/s   6029 msg/s 124/325/590/1667/4843 µs
160.000s     6025 msg/s   6005 msg/s 129/338/835/21707/38428 µs
161.000s     6024 msg/s   6042 msg/s 120/329/753/5007/10704 µs
162.000s     6024 msg/s   5985 msg/s 128/442/2360/19026/27953 µs
163.000s     6029 msg/s   6066 msg/s 123/389/1217/12056/34656 µs
164.000s     6023 msg/s   6026 msg/s 122/341/776/5189/11423 µs
165.000s     6029 msg/s   6031 msg/s 134/365/763/6614/13163 µs
166.000s     6024 msg/s   6022 msg/s 131/323/727/3512/7139 µs
167.000s     6024 msg/s   6025 msg/s 127/370/902/45600/68838 µs
168.000s     6028 msg/s   6028 msg/s 131/363/869/12491/18848 µs
169.000s     6024 msg/s   6015 msg/s 126/330/687/5811/13572 µs
170.000s     6023 msg/s   6021 msg/s 120/365/870/11466/19240 µs
171.000s     6029 msg/s   6018 msg/s 138/379/830/3314/15597 µs
172.000s     6029 msg/s   6040 msg/s 127/372/841/13280/23649 µs
173.000s     6028 msg/s   6039 msg/s 130/359/716/6659/18085 µs
174.000s     6024 msg/s   6022 msg/s 131/313/733/5356/8985 µs
175.000s     6030 msg/s   6030 msg/s 129/353/804/3861/18100 µs
176.000s     6023 msg/s   6020 msg/s 128/378/1164/23918/39854 µs
177.000s     6030 msg/s   6034 msg/s 122/345/1093/8627/20642 µs
